Year,Player,College,Position,Class
1969,Lew Alcindor *,UCLA,C,Senior
1970,Pete Maravich *,LSU,G,Senior
1971,Austin Carr,Notre Dame,G,Senior
1972,Bill Walton *,UCLA,C,Sophomore
1973,Bill Walton * ( 2 ),UCLA,C,Junior
1974,Bill Walton * ( 3 ),UCLA,C,Senior
1975,David Thompson *,N.C. State,G,Senior
1976,Scott May,Indiana,F,Senior
1977,Marques Johnson,UCLA,F,Senior
1978,Butch Lee,Marquette,G,Senior
1979,Larry Bird *,Indiana State,F,Senior
1980,Mark Aguirre,DePaul,F,Sophomore
1981,Ralph Sampson *,Virginia,C,Sophomore
1982,Ralph Sampson * ( 2 ),Virginia,C,Junior
1983,Ralph Sampson * ( 3 ),Virginia,C,Senior
1984,Michael Jordan *,North Carolina,G,Junior
1985,Patrick Ewing *,Georgetown,C,Senior
1986,Johnny Dawkins,Duke,G,Senior
1987,David Robinson *,Navy,C,Senior
1988,Danny Manning,Kansas,F,Senior
