Name,Year,Max Players,Description
California Speed,1998,1,A racing game with several different tracks set in California
Cannonball,1976,"2 , alternating",An unreleased black and white game where the player tries to fire a human cannonball through an opening in a wall
Canyon Bomber,1977,"2 , simultaneous",Players control blimps which fly over a canyon dropping bombs . Canyon boulders are worth different points . Black and white
Centipede,1980,"2 , alternating","A big hit for Atari , the player controls the character at the bottom and shoots a segmented centipede as it advances down the screen through a field of mushrooms . Other enemies , such as spiders and fleas , also threaten the player"
Championship Sprint,1986,"2 , simultaneous",A racing game in which players attempt to beat each other around tracks while avoiding hazards
Cloak & Dagger,1983,"2 , alternating",The player attempts to destroy Dr. Boom 's underground bomb factory . Featured in a film of the same name
Cloud 9,1983,"2 , alternating",The player shoots down clouds in the sky that threaten to flood his chamber at the bottom of the screen
Cops,1994,1,A laserdisc game based on the TV series of the same name ; players must shoot criminals or chase after them in their patrol car
Cops N Robbers,1976,"4 , simultaneous",A black and white game ; players can choose to be cops and shoot at and stop robbers or vice versa
Crash ' N Score,1975,"2 , simultaneous",A black and white demolition derby game where the object is to hit randomly appearing numbered pylons
Crystal Castles,1983,"2 , alternating","A moderate success , the player controls a bear character to collect crystals along paths in various caves with avoiding enemies . The player can find and use various powerups and secrets"
Cyberball,1988,"4 , simultaneous",Robotic football of the future . Robots can explode with the ball if it reaches critical temperature . Players can upgrade robots from funds from successful plays
Cyberball 2072,1989,"2 , simultaneous",American football with robots
Cyberstorm,1993,"2 , simultaneous",A futuristic one-on-one fighting game with robots
