Player,Nationality,For,Against,Result,Date
Yeon Gi-Sung,South Korea,TTM Phichit,Chiangrai United,3-1,13 February 2011
Apipoo Suntornpanavej,Thailand,Osotspa M-150 Saraburi,Royal Thai Navy,4-1,30 April 2011
Ney Fabiano,Brazil,Chonburi,Khonkaen,6-1,14 May 2011
Frank Ohandza,Cameroon,Buriram PEA,SCG Samut Songkhram,4-0,22 May 2011
Sarayuth Chaikamdee,Thailand,Bangkok Glass,Police United,5-3,29 May 2011
Teerasil Dangda,Thailand,Muangthong United,Bangkok Glass,6-2,10 August 2011
Ronnachai Rangsiyo,Thailand,BEC Tero Sasana,TTM Phichit,3-0,27 August 2011
Kritsada Kemdem,Thailand,Osotspa M-150 Saraburi,TOT S.C,4-0,24 September 2011
Frank Ohandza,Cameroon,Buriram PEA,TTM Phichit,6-1,20 November 2011
Kim Joo-Yong,South Korea,TTM Phichit,TOT S.C,3-2,17 December 2011
Chatree Chimtalay,Thailand,Bangkok Glass,Khonkaen,4-0,24 December 2011
Aron da Silva,Brazil,Sriracha,Thai Port,3-1,31 December 2011
