Town,Type,Population ( Census 2006 ),founded,Local Government Area
Roxby Downs,mining town,4055,1988,Roxby Downs
Coober Pedy,opal mining town,1916,1915,Coober Pedy
Leigh Creek,coal mining town,548,1888,Outback Areas Community Development Trust
Andamooka,opal mining town,528,1920s,Outback Areas Community Development Trust
Indulkana,aboriginal community,339,,Anangu Pitjantjatjara Yankunytjatjara
Pukatja ( Ernabella ),aboriginal community,332,1938,Anangu Pitjantjatjara Yankunytjatjara
Amata,aboriginal community,319,1961,Anangu Pitjantjatjara Yankunytjatjara
Mimili,aboriginal community,303,1972,Anangu Pitjantjatjara Yankunytjatjara
Woomera,military facility,295,1947,Outback Areas Community Development Trust
Oodnadatta,cattle station,277,1890,Outback Areas Community Development Trust
