League,Metro area,Country,Admitted
Angel City Derby Girls,"Los Angeles , CA",United States,14 June 2007
Arizona Roller Derby,"Phoenix , AZ",United States,2006
Ark Valley High Rollers,"Salida , CO",United States,1 December 2011
B.ay A.rea D.erby Girls,"Oakland , CA",United States,2006
Bellingham Roller Betties,"Bellingham , WA",United States,2009
Castle Rock n Rollers,"Castle Rock , CO",United States,1 June 2011
Central Coast Roller Derby,"Paso Robles , CA",United States,2008
Cherry City Derby Girls,"Salem , OR",United States,3 December 2012
Cheyenne Capidolls,"Cheyenne , WY",United States,7 September 2012
Choice City Rebels,"Fort Collins , CO",United States,1 March 2011
Denver Roller Dolls,"Denver , CO",United States,18 September 2007
Derby Revolution of Bakersfield,"Bakersfield , CA",United States,1 December 2010
Dockyard Derby Dames,"Tacoma , WA",United States,1 December 2010
Emerald City Roller Girls,"Eugene , OR",United States,
Fabulous Sin City Rollergirls,"Las Vegas , Nevada",United States,2006
Fairbanks Rollergirls,"Fairbanks , Alaska",United States,1 June 2011
FoCo Girls Gone Derby,"Fort Collins , CO",United States,7 January 2009
Humboldt Roller Derby,"Eureka , CA",United States,10 January 2012
Jet City Rollergirls,"Everett , WA",United States,2009
Junction City Rollergirls,"Ogden , UT",United States,1 March 2011
