Club,Location,Stadium,First season,Current spell,Seasons
Ansan Greeners,Ansan,Ansan Wa~ Stadium,2017,2017-,3
Asan Mugunghwa,Asan,Yi Sun-sin Stadium,2017,2017-,3
Bucheon FC 1995,Bucheon,Bucheon Stadium,2013,2013-,7
Busan IPark,Busan,Busan Gudeok Stadium,2016,2016-,4
Daejeon Hana Citizen,Daejeon,Daejeon World Cup Stadium,2014,2016-,5
FC Anyang,Anyang,Anyang Stadium,2013,2013-,7
Gwangju FC,Gwangju,Gwangju World Cup Stadium,2013,2018-,4
Jeonnam Dragons,South Jeolla,Gwangyang Football Stadium,2019,2019-,1
Seoul E-Land,Seoul,Seoul Olympic Stadium,2015,2015-,5
Suwon FC,Suwon,Suwon Stadium,2013,2017-,6
