P,Name,Age,moving to,Source
MF,Breitner,21,Figueirense,Globo Esporte
MF,Madson,24,Atlético-PR,Globo Esporte
MF,Marquinhos,29,Avaí,R7 Esporte
DF,Maranhão,25,Coritiba,Terra Esporte
DF,Domingos,25,São Caetano,UOL Esporte
DF,Rafael Caldeira,19,Oeste,SantosFC.com.br
MF,Rodrigo Mancha,24,Botafogo,Lancenet
GK,Felipe,23,Avaí,Globo Esporte
FW,Tiago Luis,20,Ponte Preta,Lancenet
MF,Alan Santos,20,Paulista,Futebol Interior
MF,Rodrigo Mancha,25,Vitória,Terra Esporte
MF,Breitner,21,Criciúma,Terra Esporte
DF,Rafael Caldeira,20,ABC,IG Esporte
