District,Name,Party,Hometown,First Elected,Seat Up
Lt-Gov,Matt Pinnell,Rep,Oklahoma City,2018,2022
1,Micheal Bergstrom,Rep,Adair,2016,2020
2,Marty Quinn,Rep,Claremore,2014,2022
3,Wayne Shaw,Rep,Grove,2012,2020
4,Mark Allen,Rep,Spiro,2010,2022
5,Joseph Silk,Rep,Broken Bow,2014†,2020
6,David Bullard,Rep,Durant,2018,2022
7,Larry Boggs,Rep,Red Oak,2012,2020
8,Roger Thompson,Rep,Okemah,2014,2022
9,Dewayne Pemberton,Rep,Muskogee,2016,2020
10,Bill Coleman,Rep,Ponca City,2018,2022
11,Kevin Matthews,Dem,Tulsa,2015†,2020
12,James Leewright,Rep,Bristow,2015†,2022
13,Greg McCortney,Rep,Ada,2016,2020
14,Frank Simpson,Rep,Ardmore,2010,2022
15,Rob Standridge,Rep,Norman,2012,2020
16,Mary B. Boren,Dem,Norman,2018,2022
17,Ron Sharp,Rep,Shawnee,2012,2020
18,Kim David,Rep,Wagoner,2010,2022
19,Roland Pederson,Rep,Burlington,2016,2020
