Artist/Band,Song,Disney affiliated,Released
Allstar Weekend,A Different Side of Me,No,2010
Ashley Tisdale,"It 's Alright , It 's OK",Yes,2009
Black Eyed Peas,Boom Boom Pow,N/A,2009
Camp Rock 2,Brand New Day,Yes,2010
Camp Rock 2,Ca n't Back Down,Yes,2010
Camp Rock 2,Fire,Yes,2010
Camp Rock 2,Would n't Change a Thing,Yes,2010
Camp Rock 2,Introducing Me,Yes,2010
Camp Rock 2,It 's On,Yes,2010
Colbie Caillat,I Never Told You,N/A,2010
David Guetta ft. Kelly Rowland,When Love Takes Over,No,2009
Demi Lovato,Here We Go Again,Yes,2009
Demi Lovato,Remember December,Yes,2009
Demi Lovato,"Me , Myself and Time",Yes,2010
Iyaz,Solo,N/A,2010
Jason Mraz,I 'm Yours,N/A,2008
Jonas Brothers,Fly With Me,Yes,2009
Jonas Brothers,Paranoid,Yes,2009
Jordin Sparks,Battlefield,Yes,2009
Justin Bieber,One Less Lonely Girl,N/A,2009
