Name,Position,Club
Sadie Anderson,Scrum Half/Fly Half,Penn State University
Ryan Carlyle,Hooker/Center,University of South Carolina
Nicole Castro,Wing,US Naval Academy
Tayler Davidson,Prop,US Naval Academy
Juliann Hitt,Wing/Hooker/Scrum Half,US Naval Academy
Karissa Kleinschmidt,Hooker/Scrum Half,US Naval Academy
Phoebe Kotlikoff,Prop,US Naval Academy
Kacey Liscomb,Center,US Naval Academy
Erika Pedersen,Prop,US Naval Academy
Lauren Rhode,Fly Half,Princeton University
Riacca Slater,Wing/Scrum Half,US Naval Academy
Katherine Smith,Prop,US Naval Academy
Sierra Snapp,Wing,US Naval Academy
