Year,Title,Role
1989,The Rachel Papers,Geoff
1992,Far and Away,Paddy
1992,The Last of the Mohicans,British Lieutenant
1992,The Public Eye,Danny the Doorman
1994,Natural Born Killers,London Boy
1994,Nadja,Edgar
1995,Smoke,Jimmy Rose
1995,Dead Man,Benmont Tench
1995,Blue in the Face,Jimmy Rose
1995,Tall Tale,Head Thug Pug
1996,I Shot Andy Warhol,Andy Warhol
1996,Gold in the Streets,Owen
1997,Fathers ' Day,Lee
1997,Sunday,Ray
1997,Chinese Box,William
1997,White Lies,Jacob Reese
1998,Happiness,Vlad
1998,B. Monkey,Alan Furnace
1998,Lost in Space,Older Will Robinson
1998,Lulu on the Bridge,Alvin Shine
