Year,Title,Role,Director
2004,Why Germany ?,Chris,Gabriel Peters-Lazaro
2004,The Princess Diaries 2 : Royal Engagement,Nicholas Devereaux,Garry Marshall
2005,Confession,Luther Scott,Jonathan Meyers
2005,The Bulls,Jason,Eric Stoltz
2006,Just My Luck,Jake Hardin,Donald Petrie
2006,Blind Dating,Danny Valdessecchi,James Keach
2006,Smokin ' Aces,Darwin Tremor,Joe Carnahan
2008,Bottle Shock,Bo Barrett,Randall Miller
2009,Star Trek,James T. Kirk,J. J. Abrams
2009,Carriers,Brian Green,Àlex Pastor & David Pastor
2009,Beyond All Boundaries,Hanson Baldwin / Sgt . Bill Reed,David Briggs
2010,Small Town Saturday Night,Rhett Ryan,Ryan Craig
2010,Quantum Quest : A Cassini Space Odyssey,Dave,Harry Kloor & Daniel St. Pierre
2010,Unstoppable,Will Colson,Tony Scott
2012,Celeste and Jesse Forever,Rory Shenandoah,Lee Toland Krieger
2012,This Means War,Franklin FDR Foster,McG
2012,People Like Us,Sam Harper,Alex Kurtzman
2012,Rise of the Guardians,Jack Frost,Peter Ramsey
2013,Star Trek Into Darkness,James T. Kirk,J. J. Abrams
2014,Jack Ryan : Shadow Recruit,Jack Ryan,Kenneth Branagh
