Round,Pick,Player,Pos,Country of birth*,Team,PBA D-League team ( s ),School
4,36,Arvie Bringas,F/C,Philippines,Kia Picanto,Hapee Fresh Fighters Big Chill Super Chargers,FEU
4,37,Felix Apreku,F,Israel,NLEX Road Warriors,MP Hotel Warriors Racal Tile Masters,Letran
4,38,Kyle Neypes,F,Philippines,Blackwater Elite,BDO-NU JAM Liner Racal Tile Masters,NU
4,39,John Karlo Casiño,G,Philippines,Phoenix Fuel Masters,Café France Bakers CEU Scorpions,CEU
4,40,Gian Abrigo,G,Philippines,GlobalPort Batang Pier,Tanduay Light Rhum Masters Racal Tile Masters,Adamson
4,-,PASS,,,Rain or Shine Elasto Painters,,
4,-,PASS,,,Meralco Bolts,,
4,-,PASS,,,Star Hotshots,,
4,-,PASS,,,TNT KaTropa,,
4,41,Joseph Nalos,G,Philippines,San Miguel Beermen,Z.C . Aguilas Zark 's Jawbreakers,Adamson
4,-,PASS,,,Barangay Ginebra San Miguel,,
