No,Nationality,Player,From,To
1,Wales,Ray Reardon,3 May 1975,20 April 1981
2,Canada,Cliff Thorburn,21 April 1981,16 May 1982
,Wales,Ray Reardon ( 2 ),17 May 1982,2 May 1983
3,England,Steve Davis,3 May 1983,29 April 1990
4,Scotland,Stephen Hendry,30 April 1990,4 May 1998
5,Scotland,John Higgins,5 May 1998,1 May 2000
6,Wales,Mark Williams,2 May 2000,6 May 2002
7,England,Ronnie O'Sullivan,7 May 2002,5 May 2003
,Wales,Mark Williams ( 2 ),6 May 2003,3 May 2004
,England,Ronnie O'Sullivan ( 2 ),4 May 2004,1 May 2006
,Scotland,Stephen Hendry ( 2 ),2 May 2006,7 May 2007
,Scotland,John Higgins ( 2 ),8 May 2007,5 May 2008
,England,Ronnie O'Sullivan ( 3 ),6 May 2008,3 May 2010
,Scotland,John Higgins ( 3 ),4 May 2010,26 September 2010
8,Australia,Neil Robertson,27 September 2010,12 December 2010
,Scotland,John Higgins ( 4 ),13 December 2010,2 May 2011
,Wales,Mark Williams ( 3 ),3 May 2011,11 September 2011
9,England,Mark Selby,12 September 2011,4 November 2012
10,England,Judd Trump,5 November 2012,9 December 2012
,England,Mark Selby ( 2 ),10 December 2012,17 February 2013
