Composer,Composition,Date,Location,Performers
"Badings , Henk",Symphony No . 12,1964-10-20,Scheveningen ( Kurhaus ),"Residentie Orchestra , Willem van Otterloo"
"Birtwistle , Harrison",Entr'actes and Sappho Fragments,1964-07-12,Cheltenham ( Festival ),"Thomas / Virtuoso Ensemble , Carewe"
"Birtwistle , Harrison",Three Movements with Fanfares,1964-07-08,London ( Guildhall ),"English Chamber Orchestra , Pritchard"
"Davies , Peter Maxwell",Veni sancte spiritus,1964-07-10,Cheltenham ( Festival,"Princeton High School Choir , [ orchestra unknown ] , Hilbish"
"Hoddinott , Alun",Harp Sonata,1964-07-12,Cheltenham ( Festival ),Ellis
"Maderna , Bruno",Dimensioni IV for chamber ensemble,1964-07-23,Darmstadt ( Ferienkurse ),Internationales Kammerensemble Darmstadt - Maderna
"Rawsthorne , Alan",Symphony No . 3,1964-07-08,Cheltenham ( Festival ),"BBC Northern Orchestra , Hurst"
"Searle , Humphrey","The Sun , cantata for a cappella choir , Op . 42",1964-07-07,Cheltenham ( Festival ),"BBC Chorus , Melville"
Sherlaw Johnson Robert,Piano Sonata,1964-07-11,Cheltenham ( Festival ),Sherlaw Johnson
"Stockhausen , Karlheinz",Mikrophonie I,1964-12-09,Brussels,"Aloys Kontarsky , Caskel , Fritsch , Bernhard Kontarsky , Davies , Spek , Stockhausen"
"Stockhausen , Karlheinz",Plus-Minus,1964-06-14,Rome,"Cardew , Rzewski"
"Wilks , John",Beata l'alma,1964-07-06,Cheltenham ( Festival ),"Nendick / BBC Northern Orchestra , Hurst"
