Spaceport,Location,Years ( orbital ),Launches to orbit or inter- planetary,Launch vehicles ( operators ),Sources
"Baikonur Cosmodrome , Baikonur/Tyuratam , Kazakhstan",Kazakhstan,1957-,"> 1,000","R-7 / Soyuz , Kosmos , Proton , Tsyklon , Zenit , Energia",
"Cape Canaveral Air Force Station , Florida , USA",USA,1958-,> 400,"Delta , Scout , Atlas , Titan , Saturn , Athena , Falcon 9",
"Vandenberg Air Force Base , California , USA",USA,1959-,> 700,"Delta , Scout , Atlas , Titan , Taurus , Athena , Minotaur , Falcon 9","Vandenberg ,"
"Wallops Flight Facility , Virginia , USA ( see also MARS below )",USA,1961-1985,19,Scout,6 +13
"Kapustin Yar Cosmodrome , Astrakhan Oblast , Russia",Russia,1962-2008,85,Kosmos,
"Hammaguir French Special Weapons Test Centre , Algeria",Algeria,1965-1967,4,Diamant A ( France ),Diamant
"Plesetsk Cosmodrome , Arkhangelsk Oblast , Russia",Russia,1966-,"> 1,500","R-7 / Soyuz , Kosmos , Tsyklon-3 , Rokot , Angara",
"San Marco platform , Broglio Space Centre , Malindi , Kenya",Kenya,1967-1988,9,"Scout ( ASI and Sapienza , Italy )",Broglio
"Kennedy Space Center , Florida , USA",USA,1967-,> 170,"17 Saturn , 134 Space Shuttle , 32 Falcon 9 , 3 Falcon Heavy","Saturn , STS , F9"
"Woomera Prohibited Area , South Australia",Australia,"1967 , 1971",2,"Redstone ( WRESAT ) , Black Arrow ( UK Prospero X-3 )","WRESAT , X-3"
"Uchinoura Space Center ( Kagoshima ) , Japan",Japan,1970-,31,"27 Mu , 3 Epsilon , 1 SS-520-5","M , ε , S"
"Guiana Space Centre , Kourou , French Guiana , France",French Guiana,1970-,261,"7 Diamant , 227 Ariane , 16 Soyuz-2 , 11 Vega",see 4 rockets
"Jiuquan Satellite Launch Center , China",China,1970-,85,"2 LM1 , 3 LM2A , 20 LM2C , 36 LM2D , 13 LM2F , 3 LM4B , 5 LM4C , 3 LM11",See 8 rockets
"Tanegashima Space Center , Japan",Japan,1975-,65,"6 N-I , 8 N-II , 9 H-I , 6 H-II , 36 H-IIA",see 5 rockets
"Satish Dhawan Space Centre ( SHAR ) , Andhra Pradesh , India",India,1979-,75,"4 SLV , 4 ASLV , 50 PSLV , 13 GSLV , 4 GSLV Mk III",List SDSC
"Xichang Satellite Launch Center , China",China,1984-,104,"Long March : 6 LM2C , 5 LM2E , 11 LM3 , 25 LM3A , 42 LM3B , 15 LM3C",See 6 rockets
"Taiyuan Satellite Launch Center , China",China,1988-,62,"Long March : 16 LM2C , 2 LM2D , 2 LM4A , 25 LM4B , 15 LM4C , 2 LM6",See 6 rockets
"Palmachim Air Force Base , Israel",Israel,1988-,8,Shavit,Shavit
"various airport runways ( B-52 , Stargazer )",various,1990-,39,Pegasus ( Orbital Sciences Corporation ),Pegasus
"Svobodny Cosmodrome , Amur Oblast , Russia",Russia,1997-2006,5,Start-1,
