Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Annan Athletic,Peter Murphy,Peter Watson,Stanno,M & S Engineering Ltd
Berwick Rangers,Robbie Horn,Steven Notman,Mitre,JMS Harkin ( H ) P J Brown ( A )
Clyde,Danny Lennon,Kevin Nicoll,Hummel,Advance Construction Group ( H ) Rock Regen ( A )
Cowdenbeath,Gary Bollan,Scott Rumsby,Uhlsport,Subsea Pressure Controls
Edinburgh City,James McDonaugh,Josh Walker,Joma,CMC Property
Elgin City,Gavin Price,Jon Paul McGovern,EC 1893,McDonald & Munro
Montrose,Stewart Petrie,Paul Watson,Nike,Carnegie Fuels Ltd
Peterhead,Jim McInally,David McCracken,Adidas,Independent Oilfield Services
Stenhousemuir,Brown Ferguson,Michael Dunlop,Mitre,Warriors in the Community
Stirling Albion,Dave Mackay,Willie Robertson,Macron,Prudential
