Arena,Capacity,Ground breaking,Opening,Location,Country
Hala Narodowa,"24,000",2017,2020,Warsaw,Poland
MSG Sphere London,"21,500",TBD,TBD,London,United Kingdom
Arena Polivalentă,"20,000",2019,2022,Bucharest,Romania
YTL Arena Bristol,"17,000",TBD,2022,Bristol,United Kingdom
Sala Polivalentă,"16,000",2020,2022,Timișoara,Romania
New Cardiff Bay Arena,"15,000",TBD,TBD,Cardiff,United Kingdom
Arena Santa Giulia,"15,000",TBD,TBD,Milan,Italy
Quayside Arena,"12,500",TBD,2023,Gateshead,United Kingdom
SAP Garden,"11,500",2019,2021,Munich,Germany
Bergen Byarena,"11,000",TBD,TBD,Bergen,Norway
Helsinki Garden,"10,500",TBD,TBD,Helsinki,Finland
Uppsala Arena,"10,000",TBD,TBD,Uppsala,Sweden
Sala Polivalentă,"10,000",TBD,TBD,Iași,Romania
Sala Polivalentă,"10,000",2020,2022,Brașov,Romania
