Time,Athlete,Date,Place
4:17.3+,Anne Smith ( GBR ),1967-06-03,"Chiswick , Great Britain"
4:15.6,Maria Gommers ( NED ),1967-10-24,"Sittard , Netherlands"
4:12.4,Paola Pigni ( ITA ),1969-07-02,"Milan , Italy"
4:10.7,Jaroslava Jehličková ( CZE ),1969-09-20,"Athens , Greece"
4:09.6,Karin Burneleit ( GDR ),1971-08-15,"Helsinki , Finland"
4:06.9,Ludmila Bragina ( URS ),1972-07-18,"Moscow , Soviet Union"
4:06.5,Ludmila Bragina ( URS ),1972-09-04,"Munich , Germany"
4:05.1,Ludmila Bragina ( URS ),1972-09-07,"Munich , Germany"
4:01.4,Ludmila Bragina ( URS ),1972-09-09,"Munich , Germany"
3:56.0,Tatyana Kazankina ( URS ),1976-06-28,"Podolsk , Soviet Union"
3:55.0,Tatyana Kazankina ( URS ),1980-07-06,"Moscow , Soviet Union"
3:52.47,Tatyana Kazankina ( URS ),1980-08-03,"Zurich , Switzerland"
3:50.46,Qu Yunxia ( CHN ),1993-09-11,"Beijing , China"
3:50.07,Genzebe Dibaba ( ETH ),2015-07-17,"Fontvieille , Monaco"
