Product,Release Date,Storage,Display,Keyboard
Dell Venue Pro,November 2010,8 or 16 GB,4.1 AMOLED,Yes
HTC 7 Pro ( Arrive ),January 2011,8 or 16 GB,3.6 TN LCD,Yes
HTC 7 Surround,November 2010,16 GB,3.8 TN LCD,No
HTC 7 Trophy,October 2010,8 or 16 GB,3.8 Super LCD,No
HTC 7 Mozart,October 2010,8 or 16 GB,3.7 Super LCD,No
HTC HD7 ( HD7S ),October 2010,8 or 16 GB,4.3 LCD ( HD7S Super LCD ),No
LG Optimus 7 ( Jil Sander Mobile ),October 2010,16 GB,3.8 TN LCD,No
LG Quantum ( Optimus 7Q ),October 2010,16 GB,3.5 TN LCD,Yes
Samsung Focus,November 2010,"8 or 16 GB , microSD",4.0 Super AMOLED,No
Samsung Omnia 7,October 2010,8 or 16 GB,4.0 Super AMOLED,No
