Constituency,Candidate,Votes,%,Position
Aberdeen North,Helen Crawfurd,"3,980",11.1,3
Battersea North,Shapurji Saklatvala,"3,021",8.9,3
Bethnal Green South West,Joe Vaughan,"2,970",17.4,3
Bermondsey West,Wal Hannington,873,4.2,3
Birmingham Duddeston,Bernard Moore,327,1.2,3
Bothwell,Barney McCourt,"1,677",6.5,3
Burnley,Jim Rushton,512,0.8,3
Dundee,Bob Stewart,"10,264",5.8,5
Edinburgh Central,Fred Douglas,"1,319",4.5,3
Glasgow Gorbals,Harry McShane,"2,626",7.9,3
Glasgow Springburn,A. Haines,"1,997",5.8,3
Gorton,Chris Flanagan,"1,000",2.6,3
Greenock,Aitken Ferguson,"6,440",18.2,3
Greenwich,Kath Duncan,"2,024",4.5,3
Hammersmith North,Ted Bramley,697,2.2,3
Liverpool Scotland,Leo McGree,"1,544",5.6,3
Ogmore,John Ross Campbell,"3,099",8.2,3
Rhondda East,Arthur Horner,"10,359",31.9,2
Rhondda West,John Leigh Davies,"4,296",15.7,2
St Pancras North,William Shepherd,456,1.3,3
