Year,Horse,Trainer,Owner,Age,Gender
1949,Capot ( DRF ),"John M. Gaver , Sr",Greentree Stable,3,C
1949,Coaltown ( TSD ),Horace A. Jones,Calumet Farm,4,C
1948,Citation,Ben A. Jones,Calumet Farm,3,C
1947,Armed,Ben A. Jones,Calumet Farm,6,G
1946,Assault,Max Hirsch,King Ranch,3,C
1945,Busher,George M. Odom,Louis B. Mayer,3,F
1944,Twilight Tear,Ben A. Jones,Calumet Farm,3,F
1943,Count Fleet,Don Cameron,Fannie Hertz,3,C
1942,Whirlaway,Ben A. Jones,Calumet Farm,4,C
1941,Whirlaway,Ben A. Jones,Calumet Farm,3,C
1940,Challedon,Louis J. Schaefer,Branncastle Farm,4,C
1939,Challedon,Louis J. Schaefer,Branncastle Farm,3,C
1938,Seabiscuit,Tom Smith,Charles S. Howard,5,C
1937,War Admiral,George Conway,Glen Riddle Farm,3,C
1936,Granville,Jim Fitzsimmons,"William Woodward , Sr",3,C
