Year,Horse,Age,Trainer,Owner
1949,Coaltown,4,Ben A. Jones,Calumet Farm
1948,Citation ( DRF ),3,Ben A. Jones,Calumet Farm
1948,Shannon II ( TSD ),7,William Molter,Neil S. McCarthy
1947,Armed,6,Ben A. Jones,Calumet Farm
1946,Armed,5,Ben A. Jones,Calumet Farm
1945,Stymie,4,Hirsch Jacobs,Ethel D. Jacobs
1944,Devil Diver,5,"John M. Gaver , Sr",Helen Hay Whitney
1943,Market Wise ( TSD ),5,George W. Carroll,Louis Tufano
1943,Devil Diver ( DRF ),4,"John M. Gaver , Sr",Helen Hay Whitney
1942,Whirlaway,4,Ben A. Jones,Calumet Farm
1941,Mioland ( DRF ),4,Tom Smith,Charles S. Howard
1941,Big Pebble ( TSD ),5,William B. Finnegan,Edward S. Moore
1940,Challedon,4,Louis J. Schaefer,William L. Brann
1939,Kayak II,4,Horatio Luro,Charles S. Howard
1938,Seabiscuit,5,Tom Smith,Charles S. Howard
1937,Seabiscuit,4,Tom Smith,Charles S. Howard
1936,Discovery,5,Bud Stotler,Alfred G. Vanderbilt II
