Medal,Name,Sport,Event
Gold,Bjørg Eva Jensen,Speed skating,Women 's 3000m
Silver,Lars-Erik Eriksen Per Knut Aaland Ove Aunli Oddvar Brå,Cross-country skiing,Men 's 4 × 10 km relay
Silver,Kay Arne Stenshjemmet,Speed skating,Men 's 1500m
Silver,Kay Arne Stenshjemmet,Speed skating,Men 's 5000m
Bronze,Ove Aunli,Cross-country skiing,Men 's 15 km ( classical )
Bronze,Brit Pettersen Anette Bøe Marit Myrmæl Berit Aunli,Cross-country skiing,Women 's 4 × 5 km relay
Bronze,Frode Rønning,Speed skating,Men 's 1000m
Bronze,Terje Andersen,Speed skating,Men 's 1500m
Bronze,Tom Erik Oxholm,Speed skating,Men 's 5000m
Bronze,Tom Erik Oxholm,Speed skating,"Men 's 10,000m"
