Year,Title,Role,Notes
"2004-2005 , 2014-present",General Hospital,Lucas Jones Phil Brewer,"Role held : July 8 , 2004 - September 21 , 2005 ; January 17 , 2014 - present Role held : April 1 , 2015"
2004-2006,Desperate Housewives,Justin,11 episodes
2005,The Closer,Austin Phillips,Episode : Good Housekeeping
2005,CSI : NY,Nigel Ballantyne,Episode : Youngblood
2007,CSI : Miami,Ross Miller,Episode : Bloodline
2007,Doctor Who,Laszlo,2 episodes : Daleks in Manhattan and Evolution of the Daleks
2008,Saving Grace,Joe Nathan,Episode : Are You an Indian Princess ?
2008,Samantha Who ?,Brent,Episode : Out of Africa
2010,The Phantom,Chris Moore/Kit Walker/The Phantom,Miniseries ; 2 episodes
2011,Bones,Brody Mannings,Episode : The Body in the Bag
2011,NCIS,Bryce Leitner,Episode : Two-Faced
2011,Blackout,Dr. Ben Westen,Miniseries ; 3 episodes
2012,Rizzoli & Isles,Dan MacKenzie,Episode : Over/Under
2014,Suburgatory,Bart,Episode : About a Boy-Yoi-Yoing
