Year,Association,Category,Nominee ( s ),Result
1983,Primetime Emmy Awards,Outstanding Achievement in Makeup,Del Acevedo,Won
1983,Primetime Emmy Awards,Outstanding Art Direction for a Miniseries or a Movie,"Robert MacKichan , Jerry Adams",Won
1983,Primetime Emmy Awards,Outstanding Film Editing for a Miniseries or a Movie,Carroll Timothy O'Meara,Won
1983,Primetime Emmy Awards,Outstanding Lead Actor in a Miniseries or a Movie,Richard Chamberlain,Nominated
1983,Primetime Emmy Awards,Outstanding Lead Actress in a Miniseries or a Movie,Barbara Stanwyck,Won
1983,Primetime Emmy Awards,Outstanding Miniseries or Movie,The Thorn Birds,Nominated
1983,Primetime Emmy Awards,Outstanding Supporting Actor in a Miniseries or a Movie,Bryan Brown,Nominated
1983,Primetime Emmy Awards,Outstanding Supporting Actor in a Miniseries or a Movie,Richard Kiley,Won
1983,Primetime Emmy Awards,Outstanding Supporting Actor in a Miniseries or a Movie,Christopher Plummer,Nominated
1983,Primetime Emmy Awards,Outstanding Supporting Actress in a Miniseries or a Movie,Piper Laurie,Nominated
1983,Primetime Emmy Awards,Outstanding Supporting Actress in a Miniseries or a Movie,Jean Simmons,Won
1984,Golden Globe Awards,Best Actor - Miniseries or Television Film,Richard Chamberlain,Won
1984,Golden Globe Awards,Best Actress - Miniseries or Television Film,Rachel Ward,Nominated
1984,Golden Globe Awards,Best Miniseries or Television Film,The Thorn Birds,Won
1984,Golden Globe Awards,"Best Supporting Actor - Series , Miniseries or Television Film",Bryan Brown,Nominated
1984,Golden Globe Awards,"Best Supporting Actor - Series , Miniseries or Television Film",Richard Kiley,Won
1984,Golden Globe Awards,"Best Supporting Actress - Series , Miniseries or Television Film",Piper Laurie,Nominated
1984,Golden Globe Awards,"Best Supporting Actress - Series , Miniseries or Television Film",Jean Simmons,Nominated
1984,Golden Globe Awards,"Best Supporting Actress - Series , Miniseries or Television",Barbara Stanwyck,Won
1984,People 's Choice Awards,Best TV Miniseries,The Thorn Birds,Won
