Site,Location,Criteria,Area ha ( acre ),Year,Description
Canadian Rocky Mountain Parks,Canada Alberta and British Columbia 51°25′N 116°29′W / 51.417°N 116.483°W / 51.417 ; -116.483 ( Canadian Rocky Mountain Parks ),"Natural : ( vii ) , ( viii )","2,306,884 ( 5,700,430 )",1984,"With high peaks , glaciers , lakes , waterfalls , canyons and limestone caves , the National Parks that make up this site exemplify the exceptional features of the Rocky Mountains . Furthermore , one of the world 's most celebrated fossil fields , the Burgess Shale Formation is located within the inscribed property"
Dinosaur Provincial Park,Canada Alberta 50°46′4″N 111°29′32″W / 50.76778°N 111.49222°W / 50.76778 ; -111.49222 ( Dinosaur Provincial Park ),"Natural : ( vii ) , ( viii )","7,493 ( 18,520 )",1979,The park is noted for the beauty of its badland landscape and as a major fossil site . Specimens of every group of cretaceous dinosaurs have been found here including those of 35 species dating more than 75 million years ago
Gros Morne National Park,Canada Newfoundland and Labrador 49°37′N 57°32′W / 49.617°N 57.533°W / 49.617 ; -57.533 ( Gros Morne National Park ),"Natural : ( vii ) , ( viii )","180,500 ( 446,000 )",1987,"With deep ocean crust and rocks of the earth 's mantle lying exposed , the park illustrates plate tectonics . Landlocked freshwater fjords , glacier-scoured headlands in an ocean setting contribute to the natural beauty of this wilderness area"
Head-Smashed-In Buffalo Jump,Canada Alberta 49°44′58″N 113°37′26″W / 49.74944°N 113.62389°W / 49.74944 ; -113.62389 ( Head-Smashed-In Buffalo Jump ),Cultural : ( vi ),-,1981,"The property consists of remains of a camp , of trails and a tumulus of bones of the American bison bearing testimony to nearly 6000 years of communal hunting in which the bisons were driven over a cliff , a practice known as buffalo jump"
Historic District of Old Québec,"Canada Quebec City , Quebec 46°48′34″N 71°12′38″W / 46.80944°N 71.21056°W / 46.80944 ; -71.21056 ( Historic District of Old Québec )","Cultural : ( iv ) , ( vi )",-,1985,"Founded by the French in the 17th century , the urban ensemble of Old Québec is the most complete example of a European fortified town north of Mexico"
Joggins Fossil Cliffs,Canada Nova Scotia 45°42′35″N 64°26′9″W / 45.70972°N 64.43583°W / 45.70972 ; -64.43583 ( Joggins Fossil Cliffs ),Natural : ( viii ),"689 ( 1,700 ) ; buffer zone 29 ( 72 )",2008,This paleontological site contains the most complete terrestrial fossil record of the Carboniferous period including tracks of early animals and of the rainforest they lived in
Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek,"Canada British Columbia and Yukon * ; Alaska , United States * 61°12′N 141°0′W / 61.200°N 141.000°W / 61.200 ; -141.000 ( Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek )","Natural : ( vii ) , ( viii ) , ( ix ) , ( x )","9,839,121 ( 24,313,000 )",1979,"These parks comprise the world 's largest non-polar icefield , some of the largest glaciers and a tectonically active mountain landscape . They are home to a number of species endangered elsewhere such as bears , wolves , caribou and Dall sheep"
Landscape of Grand-Pré,Canada Nova Scotia 45°7′6″N 64°18′26″W / 45.11833°N 64.30722°W / 45.11833 ; -64.30722 ( Landscape of Grand-Pré ),"Cultural : ( v ) , ( vi )","1,323 ( 3,270 )",2012,"The Grand Pré landscape is an exceptional example of the adaptation of the first European settlers to the conditions of the North American Atlantic coast . The site is also inscribed as a memorial to the Acadian way of life and deportation , which started in 1755 , known as the Grand Dérangement"
L'Anse aux Meadows National Historic Site,Canada Newfoundland and Labrador 51°28′0″N 55°37′0″W / 51.46667°N 55.61667°W / 51.46667 ; -55.61667 ( LAnse aux Meadows National Historic Site ),Cultural : ( vi ),-,1978,These remains of an 11th-century Viking settlement are the first and only known site of Norse presence and the earliest known European settlement in America outside of Greenland
Miguasha National Park,"Canada Gaspé Peninsula , Quebec 48°6′18″N 66°21′11″W / 48.10500°N 66.35306°W / 48.10500 ; -66.35306 ( Miguasha National Park )",Natural : ( viii ),87 ( 210 ),1999,
Mistaken Point,Canada Newfoundland and Labrador 46°37′55″N 53°11′25″W / 46.63194°N 53.19028°W / 46.63194 ; -53.19028 ( Mistaken Point ),Natural : ( viii ),"570 ( 1,400 )",2016,Mistaken Point contains the oldest evidence known of early multi-cellular life on the planet with fossils calculated to be 560-575 million years old
Nahanni National Park,Canada Northwest Territories 61°33′N 125°35′W / 61.550°N 125.583°W / 61.550 ; -125.583 ( Nahanni National Park ),"Natural : ( vii ) , ( viii )","476,560 ( 1,177,600 )",1978,
Old Town Lunenburg,Canada Nova Scotia 44°22′34″N 64°18′33″W / 44.37611°N 64.30917°W / 44.37611 ; -64.30917 ( Old Town Lunenburg ),"Cultural : ( iv ) , ( v )",-,1995,
Pimachiowin Aki,Canada Manitoba and Ontario 51°49′35.1″N 95°24′40.6″W / 51.826417°N 95.411278°W / 51.826417 ; -95.411278 ( Pimachiowin Aki ),"Mixed : ( v ) , ( vii ) , ( ix ) , ( x )","4,015,000 ( 9,920,000 )",2018,"A managed landscape on the ancestral lands of five First Nations peoples . The site was submitted for consideration in 2013 . The World Heritage Committee deferred inscription to give the nominators time to improve certain aspects of the bid , while also saying that the Committee needed to improve the nomination process for mixed sites as there were currently structural problems in the process that made approving mixed nominations difficult . In 2016 , the Committee was set to inscribe the property on the List , but Canada requested and received a referral after Ontario 's Pikangikum First Nation withdrew its support . The site was officially designated a World Heritage Site on July 1 , 2018"
Red Bay Basque Whaling Station,"Canada Red Bay , Newfoundland and Labrador 51°43′55″N 56°25′32″W / 51.73194°N 56.42556°W / 51.73194 ; -56.42556 ( Red Bay Basque Whaling Station )","Cultural : ( iii ) , ( iv )",313 ( 770 ),2013,"Between 1550 and the early 17th century , Red Bay was a major Basque whaling area . The site is home to three Basque whaling galleons and four small chalupas used in the capture of whales . The discovery of these vessels makes Red Bay one of the most precious underwater archaeological sites in the Americas"
Rideau Canal,Canada Ontario 45°0′N 75°46′W / 45.000°N 75.767°W / 45.000 ; -75.767 ( Rideau Canal ),"Cultural : ( i ) , ( iv )","21,455 ( 53,020 ) ; buffer zone 2,363 ( 5,840 )",2007,"The oldest continuously operated canal system in North America , it connects Ottawa , on the Ottawa River , to Kingston , on Lake Ontario . It opened in 1832 as a precaution in case of war with the United States ; designation includes several defensive works in Kingston . The canal is still in use , with much of its original structure intact"
S G ang Gwaay,Canada British Columbia 52°5′42″N 131°13′13″W / 52.09500°N 131.22028°W / 52.09500 ; -131.22028 ( S G ang Gwaay ),Cultural : ( iii ),-,1981,
Waterton Glacier International Peace Park,"Canada Alberta * ; Montana , United States * 49°0′N 113°54′W / 49.000°N 113.900°W / 49.000 ; -113.900 ( Waterton Glacier International Peace Park )","Natural : ( vii ) , ( ix )","457,614 ( 1,130,790 )",1995,
Wood Buffalo National Park,Canada Alberta and Northwest Territories 59°22′N 112°18′W / 59.367°N 112.300°W / 59.367 ; -112.300 ( Wood Buffalo National Park ),"Natural : ( vii ) , ( ix ) , ( x )","4,480,000 ( 11,100,000 )",1983,
Writing-on-Stone / Áísínai'pi,Canada Alberta 49°4′30″N 111°37′59″W / 49.07500°N 111.63306°W / 49.07500 ; -111.63306 ( Áísínai'pi ),Cultural : iii,"1,106 ( 2,730 )",2019,The site contains the greatest concentration of rock art on the North American Great Plains and is sacred to the Niitsítapi ( Blackfoot ) people
