Country,Total drivers,Champions,Championships,First driver ( s ),Most recent driver ( s ) / Current driver ( s )
Argentina details,25,1 ( Fangio [ 5 ] ),"5 ( 1951 , 1954 , 1955 , 1956 , 1957 )",Juan Manuel Fangio ( 1950 British Grand Prix ),Gastón Mazzacane ( 2001 San Marino Grand Prix )
Australia details,17,"2 ( Brabham [ 3 ] , Jones )","4 ( 1959 , 1960 , 1966 , 1980 )",Tony Gaze ( 1952 Belgian Grand Prix ),Daniel Ricciardo ( 2019 Abu Dhabi Grand Prix )
Austria details,16,"2 ( Rindt , Lauda [ 3 ] )","4 ( 1970 , 1975 , 1977 , 1984 )",Jochen Rindt ( 1964 Austrian Grand Prix ),Christian Klien ( 2010 Abu Dhabi Grand Prix )
Belgium details,24,0,0,Johnny Claes ( 1950 British Grand Prix ),Stoffel Vandoorne ( 2018 Abu Dhabi Grand Prix
Brazil details,31,"3 ( Fittipaldi [ 2 ] , Piquet [ 3 ] , Senna [ 3 ] )","8 ( 1972 , 1974 , 1981 , 1983 , 1987 , 1988 , 1990 , 1991 )",Chico Landi ( 1951 Italian Grand Prix ),Felipe Massa ( 2017 Abu Dhabi Grand Prix )
Canada details,14,1 ( Villeneuve ),1 ( 1997 ),Peter Ryan ( 1961 United States Grand Prix ),Lance Stroll ( 2019 Abu Dhabi Grand Prix )
Chile,1,0,0,Eliseo Salazar ( 1981 USA West Grand Prix ),Eliseo Salazar ( 1983 Belgian Grand Prix )
Colombia details,3,0,0,Ricardo Londoño ( 1981 Brazilian Grand Prix ),Juan Pablo Montoya ( 2006 United States Grand Prix )
Czech Republic,1,0,0,Tomáš Enge ( 2001 Italian Grand Prix ),Tomáš Enge ( 2001 Japanese Grand Prix )
Denmark details,5,0,0,Tom Belsø ( 1973 Swedish Grand Prix ),Kevin Magnussen ( 2019 Abu Dhabi Grand Prix )
East Germany details,4,0,0,"Rudolf Krause , Ernst Klodwig ( 1952 German Grand Prix )","Edgar Barth , Theo Fitzau , Ernst Klodwig , Rudolf Krause ( 1953 German Grand Prix )"
Finland details,9,"3 ( K. Rosberg , Häkkinen [ 2 ] , Räikkönen )","4 ( 1982 , 1998 , 1999 , 2007 )",Leo Kinnunen ( 1974 Belgian Grand Prix ),"Kimi Räikkönen , Valtteri Bottas ( 2019 Abu Dhabi Grand Prix )"
France details,71,1 ( Prost [ 4 ] ),"4 ( 1985 , 1986 , 1989 , 1993 )","Yves Giraud-Cabantous , Eugène Martin , Louis Rosier , Philippe Étancelin ( 1950 British Grand Prix )","Pierre Gasly , Romain Grosjean ( 2019 Abu Dhabi Grand Prix )"
Germany details,53,"3 ( Schumacher [ 7 ] , Vettel [ 4 ] , N. Rosberg )","12 ( 1994 , 1995 , 2000 , 2001 , 2002 , 2003 , 2004 , 2010 , 2011 , 2012 , 2013 , 2016 )",Paul Pietsch ( 1950 Italian Grand Prix ),"Nico Hülkenberg , Sebastian Vettel ( 2019 Abu Dhabi Grand Prix )"
Hungary,1,0,0,Zsolt Baumgartner ( 2003 Hungarian Grand Prix ),Zsolt Baumgartner ( 2004 Brazilian Grand Prix )
India details,2,0,0,Narain Karthikeyan ( 2005 Australian Grand Prix ),Narain Karthikeyan ( 2012 Brazilian Grand Prix )
Indonesia,1,0,0,Rio Haryanto ( 2016 Australian Grand Prix ),Rio Haryanto ( 2016 German Grand Prix )
Ireland details,5,0,0,Joe Kelly ( 1950 British Grand Prix ),Ralph Firman ( 2003 Japanese Grand Prix )
Italy details,99,"2 ( Farina , Ascari [ 2 ] )","3 ( 1950 , 1952 , 1953 )","Nino Farina , Luigi Fagioli ( 1950 British Grand Prix )",Antonio Giovinazzi ( 2019 Abu Dhabi Grand Prix )
Japan details,20,0,0,Hiroshi Fushida ( 1975 Dutch Grand Prix ),Kamui Kobayashi ( 2014 Abu Dhabi Grand Prix )
