Year,Champion,Score,Runner-up,Tournament MVP
1988,Army,,La Salle,"John Brence , Army"
1989,Loyola Maryland,3-0,La Salle,"Vince Moskunas , Loyola"
1990,Loyola Maryland,3-0,La Salle,"Doug Miller , Loyola"
1991,Loyola Maryland,2-0,Fairfield,"Tom Donahue , Loyola"
1992,Loyola Maryland,3-0,Fairfield,"Jim Garvey , Loyola"
1993,Loyola Maryland,1-0*,Fairfield,"Anthony Novello , Fairfield"
1994,Loyola Maryland,4-0,Manhattan,"Doug Willey , Loyola"
1995,Loyola Maryland,6-1,Iona,"Mike Barger , Loyola"
1996,Loyola Maryland,2-0,Fairfield,"J. T. Dorsey , Loyola"
1997,Rider,2-0*,Loyola Maryland,"Mark Bennett , Rider"
1998,Rider,1-0*,Fairfield,"Craig Wicken , Rider"
1999,Fairfield,2-1,Loyola Maryland,"David Mancini , Fairfield"
2000,Marist,3-2*,Fairfield,"Sean Murphy , Marist"
2001,Loyola Maryland,1-0*,Fairfield,"Graham Marchant , Loyola"
2002,Loyola Maryland,2-1,Marist,"Steven Coleman , Loyola"
2003,Saint Peter 's,2-1,Loyola Maryland,"Rinaldo Chambers , Saint Peter 's"
2004,Marist,2-0,Rider,"Keith Detelj , Marist"
2005,Marist,2-1,Fairfield,"Keith Detelj , Marist"
2006,Fairfield,1-0,Saint Peter 's,"Alex Cunliffe , Fairfield"
2007,Loyola Maryland,1-0,Saint Peter 's,"Miloš Kočić , Loyola"
