Season,Player,School,Position,Class
1977-78,Carol Blazejowski,Montclair State,Forward,Senior
1978-79,Nancy Lieberman,Old Dominion,Guard,Junior
1979-80,Nancy Lieberman ( 2 ),Old Dominion,Guard,Senior
1980-81,Lynette Woodard,Kansas,Guard,Senior
1981-82,Pam Kelly,Louisiana Tech,Center,Senior
1982-83,LaTaunya Pollard,Long Beach State,Guard,Senior
1983-84,Janice Lawrence Braxton,Louisiana Tech,Forward,Senior
1984-85,Cheryl Miller,USC,Forward,Junior
1985-86,Kamie Ethridge,Texas,Guard,Senior
1986-87,Shelly Pennefather,Villanova,Forward,Senior
1987-88,Teresa Weatherspoon,Louisiana Tech,Guard,Senior
1988-89,Clarissa Davis,Texas,Forward,Senior
1989-90,Jennifer Azzi,Stanford,Guard,Senior
1990-91,Daedra Charles,Tennessee,Center,Senior
1991-92,Susan Robinson,Penn State,Forward,Senior
1992-93,Karen Jennings,Nebraska,Forward,Senior
1993-94,Carol Ann Shudlick,Minnesota,Forward,Senior
1994-95,Rebecca Lobo,Connecticut,Center,Senior
1995-96,Jennifer Rizzotti,Connecticut,Guard,Senior
1996-97,DeLisha Milton,Florida,Forward,Senior
