US,Album,Artist,Record Label
4,Alright Guy,Gary Allan,MCA Nashville
3,Blake Shelton,Blake Shelton,Warner Bros
6,Carrying On,Montgomery Gentry,Columbia
4,Chrome,Trace Adkins,Capitol Nashville
6,Dare to Dream,Billy Gilman,Epic
10,Down from the Mountain Soundtrack,Various Artists,Lost Highway
10,Gravitational Forces,Robert Earl Keen,Lost Highway
1,Greatest Hits,Martina McBride,RCA Nashville
8,Greatest Hits II,Clint Black,RCA Nashville
1,Greatest Hits Vol . 3 : I 'm a Survivor,Reba McEntire,MCA Nashville
1,I Need You,LeAnn Rimes,Curb
1,I 'm Already There,Lonestar,BNA
1,Inside Out,Trisha Yearwood,MCA Nashville
10,Loving Every Minute,Mark Wills,Mercury Nashville
7,My World,Cyndi Thomson,Capitol Nashville
4,Never Love You Enough,Chely Wright,MCA Nashville
3,New Favorite,Alison Krauss & Union Station,Rounder
5,One More Day,Diamond Rio,Arista Nashville
3,Part II,Brad Paisley,Arista Nashville
1,Pull My Chain,Toby Keith,DreamWorks Nashville
