Season,Event type,Location,Format,Date,Rank
1999-00,Grand Prix,Cannes,Team Limited,26-27 February 2000,1
1999-00,Masters,New York,Team Limited,16 April 2000,1
2000-01,Grand Prix,Porto,Rochester Draft,23-24 September 2000,1
2000-01,Grand Prix,Amsterdam,Limited,13-14 January 2001,6
2000-01,Grand Prix,Cologne,Limited,24-25 February 2001,2
2000-01,Grand Prix,Prague,Limited,10-11 March 2001,6
2000-01,Grand Prix,Moscow,Standard,21-22 April 2001,4
2000-01,Worlds,Toronto,Special,8-12 August 2001,3
2001-02,Grand Prix,London,Block Constructed,1-2 September 2001,7
2001-02,Grand Prix,Curitiba,Extended,8-9 December 2001,3
2001-02,Grand Prix,Sao Paulo,Standard,13-14 July 2002,3
2002-03,Grand Prix,Sevilla,Sealed and Booster Draft,22-23 February 2003,4
2003-04,Grand Prix,Sendai,Booster Draft,20-21 March 2004,3
2003-04,Pro Tour,San Diego,Booster Draft,14-16 May 2004,2
2005,Grand Prix,Vienna,Rochester Draft,9-10 October 2004,2
2005,Invitational,Los Angeles,Special,17-20 May 2005,6
2005,Pro Tour,Los Angeles,Extended,28-30 October 2005,1
2006,Invitational,Los Angeles,Special,10-12 May 2006,1
2006,Pro Tour,Honolulu,Standard,3-5 March 2006,8
2006,Grand Prix,Cardiff,Sealed and Booster Draft,25-26 March 2006,8
