Season,Player,Club,Goals
1974-75,Suhail Salim,Al Ahli,14
1975-76,Ali Nawaz Baloch,Al Wahda,12
1976-77,Al Fadhel Santo,Al Nasr,10
1977-78,Mohieddine Habita,Al Ain,20
1980-81,Karim Abdul Razak,Emirates,14
1981-82,Ahmed Abdullah,Al Ain,12
1982-83,Carlos,Al Nasr,12
1983-84,Ahmed Abdullah Fahad Khamees,Al Ain Al Wasl,20
1984-85,Fahad Khamees Adnan Al Talyani,Al Wasl Al Shaab,14
1985-86,Mohammed Salem,Al Wahda,16
1986-87,Adnan Al Talyani Khalil Ghanim,Al Shaab Al Khaleej,13
1987-88,Zuhair Bakheet,Al Wasl,25
1988-89,Fahad Khamees,Al Wasl,14
1989-90,Hussain Yaslam,Baniyas,16
1991-92,Youssouf Atiq,Al Ahli,25
1992-93,Saif Sultan,Al Ain,20
1993-94,Abdulaziz Mohammed,Sharjah,18
1994-95,Bader Jassim,Al Wahda,10
1995-96,Jassim Al Dokhi,Al Shaab,10
1996-97,Bader Jassim,Al Wahda,11
