Year,Film,Role
2009,Knowing,Spencer
2009,Triangle,Victor
2010,The Last Song,Will Blakelee
2012,The Hunger Games,Gale Hawthorne
2012,The Expendables 2,Billy The Kid Timmons
2013,Love and Honor,Mickey Wright
2013,Paranoia,Adam Cassidy
2013,Empire State,Chris Potamitis
2013,The Hunger Games : Catching Fire,Gale Hawthorne
2014,Cut Bank,Dwayne McLaren
2014,The Hunger Games : Mockingjay - Part 1,Gale Hawthorne
2015,The Dressmaker,Ted McSwiney
2015,The Hunger Games : Mockingjay - Part 2,Gale Hawthorne
2016,Independence Day : Resurgence,Jake Morrison
2016,The Duel,David Kingston
2019,Is n't It Romantic,Blake
2019,Killerman,Moe
TBD,Arkansas,Kyle
