School,Sport ( s ),Former Conference,New Conference
Albany Great Danes,Women 's tennis,America East,Dropped women 's tennis
Butler Bulldogs,Women 's lacrosse,Club team,Big East
Charleston Cougars,Beach volleyball,Independent,CCSA
The Citadel Bulldogs,Rifle,Independent/SEARC,SoCon
Cleveland State Vikings,Men 's lacrosse,Club team,Independent
Coastal Carolina Chanticleers,Full membership ( initially non-football ),Big South,Sun Belt
Coastal Carolina Chanticleers,Football,Big South,Division I FCS independent
Coastal Carolina Chanticleers,Women 's lacrosse,Big South,Atlantic Sun
Delaware State Hornets,Women 's lacrosse,Independent,Atlantic Sun
Denver Pioneers,Women 's lacrosse,MPSF,Big East
Duquesne Dukes,Bowling,No team,NEC
East Tennessee State Buccaneers,Football,Division I FCS independent,SoCon
Fresno State Bulldogs,Women 's water polo,Club team,Independent
Georgia Southern Eagles,Rifle,Independent/SEARC,SoCon
Hampton Pirates and Lady Pirates,"Men 's lacrosse , women 's soccer",No teams,Independent
Hartford Hawks,Men 's tennis,MVC,Dropped tennis
Hartford Hawks,Women 's tennis,America East,Dropped tennis
Johns Hopkins Blue Jays,Women 's lacrosse,Independent,Big Ten
Kansas State Wildcats,Women 's soccer,No team,Independent
La Salle Explorers,Men 's water polo,Club team,CWPA
