Year,Title,Role,Notes
1996,NYPD Blue,Margie,Episode : These Old Bones
1996,Malibu Shores,Listener,Episode : Hotline
1996,Saved by the Bell : The New Class,Heather,Episode : Little Hero
1996,Goode Behavior,Trish,Episode : Goode Grades
1996,Suddenly,Trina,Television movie
1997,Weird Science,Kim,Episode : Gary Had a Little Cram
1997,The Burning Zone,Jenny,Episode : Critical Mass
1997,"Sister , Sister",Anya,Episode : Three the Heart Way
1997,The Parent 'Hood,Alexia,Episode : Tango & Cash
1997,Buffy the Vampire Slayer,Aura,3 episodes
1997,Beyond Belief : Fact or Fiction,Molly,Episode : On the Road
1997-1998,Breaker High,Denise Williams,"Main role , 44 episodes"
1998,Brooklyn South,Cinnamon,Episode : Cinnamon Buns
1998,Malcolm & Eddie,Sharon,Episode : Bowl-a-Drama
1999,The Steve Harvey Show,Monique,Episode : All That Jazz
1999,Clueless,Veronica,Episode : My Best Friend 's Boyfriend
1999,Another World,Kineisha ' K.C . ' Burrell,Recurring role
2000,Operation Sandman,Private Winslow,Television movie
2000-2008,Girlfriends,Lynn Searcy,"Main role , 172 episodes"
2001,Angel,Agnes Aggie Belfleur,Episode : Over the Rainbow
