City served,ICAO,IATA,Airport name
Angoche,FQAG,ANO,Angoche Airport
Bazaruto Island,,BZB,Bazaruto Island Airport
Beira,FQBR,BEW,Beira Airport
Benguerra Island,,BCW,Benguerra Island Airport
Bilene,FQBI,,Bilene Airport
Chimoio,FQCH,VPY,Chimoio Airport
Cuamba,FQCB,FXO,Cuamba Airport
Inhaca,FQIA,,Inhaca Airport
"Indigo Bay , Bazaruto Island",,IBL,Indigo Bay Lodge Airport
Inhambane,FQIN,INH,Inhambane Airport
Lichinga,FQLC,VXC,Lichinga Airport
Lumbo,FQLU,LFB,Lumbo Airport
Maputo,FQMA,MPM,Maputo International Airport
Marrupa,FQMR,,Marrupa Airport
Mocímboa da Praia,FQMP,MZB,Mocímboa da Praia Airport
Mueda,FQMD,MUD,Mueda Airport
Nacala,FQNC,MNC,Nacala Airport
Nampula,FQNP,APL,Nampula Airport
Pemba / Porto Amelia,FQPB,POL,Pemba Airport
Ponta do Ouro,FQPO,PDD,Ponta do Ouro Airport
