Medal,Name,Sport,Event
Gold,"Slobodan Grujić , Aleksandar Karakašević",Table tennis,Men 's doubles
Gold,"Biljana Golić , Gordana Plavšić",Table tennis,Women 's doubles
Gold,Milorad Gajović,Boxing,91kg
Silver,Miloš Mijalković,Judo,66kg
Silver,Predrag Stojanov,Karate,+ 80 kg
Silver,Olivera Jevtić,Athletics,10.000m
Silver,Marija Martinović,Athletics,Triple jump
Silver,Norbert Futo,Wrestling,Greco-Roman 58 kg
Bronze,Olivera Jevtić,Athletics,5.000m
Bronze,Nenad Lončar,Athletics,110m Hurdles
Bronze,Danial Jahić,Athletics,Long jump
Bronze,Geard Ajetović,Boxing,67 kg
Bronze,Aleksandar Pejanović,Boxing,+ 91 kg
Bronze,Snežana Perić,Karate,60kg
Bronze,Sara Peković-Grbić,Karate,65kg
Bronze,Vanja Vrhovac,Karate,+65kg
Bronze,Slađana Mitić,Karate,+ 80kg
Bronze,Vladan Marković,Swimming,100m Butterfly
Bronze,Dalibor Bušić,Wrestling,Greco-Roman 76 kg
Bronze,Slobodan Grujić,Table tennis,Men 's singles
