,Name on the Register,Date listed,Location,City or town
1,Arkansas Highway 57 Bridge,"September 28 , 2005 ( # 05001078 )",Formerly carried Highway 57 over a Union Pacific railroad line 33°24′46″N 93°04′10″W / 33.412778°N 93.069444°W / 33.412778 ; -93.069444 ( Arkansas Highway 57 Bridge ),Stephens
2,Bearden Waterworks,"October 5 , 2006 ( # 06000908 )",Junction of N. 2nd and N. Cedar 33°43′39″N 92°37′01″W / 33.7275°N 92.616944°W / 33.7275 ; -92.616944 ( Bearden Waterworks ),Bearden
3,Bragg House,"March 1 , 1974 ( # 74000487 )",West of Camden on Highway 4 33°34′52″N 92°53′56″W / 33.581111°N 92.898889°W / 33.581111 ; -92.898889 ( Bragg House ),Camden
4,Capt . John T. Burkett House,"June 3 , 1998 ( # 98000620 )",607 County Road 65 33°26′27″N 92°47′39″W / 33.440833°N 92.794167°W / 33.440833 ; -92.794167 ( Capt . John T. Burkett House ),Frenchport
5,Camden Confederate Monument,"May 7 , 1996 ( # 96000462 )","Courthouse Lawn , Jefferson St. between Harrison St. and Scott Alley 33°35′03″N 92°49′49″W / 33.584167°N 92.830278°W / 33.584167 ; -92.830278 ( Camden Confederate Monument )",Camden
6,Camden Water Battery,"May 30 , 2007 ( # 07000615 )",Address Restricted,Camden
7,Clifton and Greening Streets Historic District,"August 14 , 1998 ( # 98000911 )","Roughly bounded by Clifton and Greening Sts. , and Dallas and Cleveland Aves . Boundary increase I ( listed November 19 , 2001 ) : 411 and 417 Greening St. Boundary increase II ( listed September 19 , 2007 ) : 622 , 630 , and 634 Clifton St. , 206 Dallas Ave. , and 502 Greening St. Boundary increase III ( listed September 23 , 2011 ) : 140 California St. 33°35′13″N 92°50′10″W / 33.5869°N 92.8361°W / 33.5869 ; -92.8361 ( Clifton and Greening Streets Historic District )",Camden
8,Elliott-Meek House,"March 1 , 1974 ( # 74000483 )",761 Washington St. 33°35′02″N 92°50′30″W / 33.583889°N 92.841667°W / 33.583889 ; -92.841667 ( Elliott-Meek House ),Camden
9,Fort Lookout,"April 19 , 1994 ( # 94001183 )","Southern bank of the Ouachita River , about 1.0 mile west of U.S. Highway 79 33°36′00″N 92°50′04″W / 33.6°N 92.834444°W / 33.6 ; -92.834444 ( Fort Lookout )",Camden
10,Fort Southerland,"April 19 , 1994 ( # 94001184 )","Roughly bounded by Lear Ave. , Bradley Ferry Rd. , and Progress St. 33°34′25″N 92°49′03″W / 33.573611°N 92.8175°W / 33.573611 ; -92.8175 ( Fort Southerland )",Camden
11,Graham-Gaughan-Betts House,"October 18 , 1974 ( # 74000484 )",710 Washington St. 33°35′05″N 92°50′24″W / 33.584722°N 92.84°W / 33.584722 ; -92.84 ( Graham-Gaughan-Betts House ),Camden
12,Green Cemetery,"May 5 , 2017 ( # 16000653 )",West of County Road 1 33°25′56″N 93°05′55″W / 33.432222°N 93.098611°W / 33.432222 ; -93.098611 ( Green Cemetery ),Stephens
13,Harvey 's Grocery and Texaco Station,"May 25 , 2001 ( # 01000524 )",3241 Highway 24 33°36′31″N 92°54′43″W / 33.608611°N 92.911944°W / 33.608611 ; -92.911944 ( Harvey 's Grocery and Texaco Station ),Camden
14,Hickman House,"March 2 , 2006 ( # 06000090 )",3568 Mt . Holly Rd . 33°30′29″N 92°51′09″W / 33.507947°N 92.852517°W / 33.507947 ; -92.852517 ( Hickman House ),Camden
15,Holt-Poindexter Store Building,"October 23 , 1986 ( # 86002948 )",County Road 33°27′08″N 93°01′24″W / 33.452222°N 93.023333°W / 33.452222 ; -93.023333 ( Holt-Poindexter Store Building ),Stephens
16,The HOMER ( Shipwreck ),"September 14 , 2002 ( # 02000979 )",Address Restricted,Camden
17,Ben Laney Bridge,"June 9 , 2000 ( # 00000633 )",U.S. Highway 79B over the Ouachita River 33°35′47″N 92°49′07″W / 33.596389°N 92.818611°W / 33.596389 ; -92.818611 ( Ben Laney Bridge ),Camden
18,Leake-Ingham Building,"May 2 , 1975 ( # 75000399 )","926 Washington St. , NW . 33°35′05″N 92°50′38″W / 33.584722°N 92.843889°W / 33.584722 ; -92.843889 ( Leake-Ingham Building )",Camden
19,Lester And Haltom No . 1 Well Site,"April 3 , 1976 ( # 76000442 )",Northeast of Stephens on Old Wire Rd . ( County Road 3 ) 33°25′43″N 93°00′45″W / 33.428611°N 93.0125°W / 33.428611 ; -93.0125 ( Lester And Haltom No . 1 Well Site ),Stephens
20,McCollum-Chidester House,"June 24 , 1971 ( # 71000127 )","926 Washington St. , NW . 33°35′05″N 92°50′32″W / 33.584722°N 92.842222°W / 33.584722 ; -92.842222 ( McCollum-Chidester House )",Camden
