Property,Date,Municipality,Ownership,Dimensions,Ref
"Shellfish-gathering at Shinagawa Gotenyama Distant View of Nori -gathering at Okuyama near Nihon Kaian-ji light colours on silk , by Andō Hiroshige 絹本淡彩 御殿山 品川汐干狩図 日本 海晏寺 奥山海苔取遠望図 安藤広重筆 kenpon tansai Gotenyama Shinagawa shiohi gari zu Nihon Kaianji Okuyama nori-tori enbō zu ( Andō Hiroshige hitsu )",C19,Tendō,private,90.4 centimetres ( 2 ft 11.6 in ) by 30.1 centimetres ( 11.9 in ),[ 9 ]
"Tsukuda-jima Sumiyoshi in Tōkyō Arashiyama in Kyōto Beach by the Light of the Rising Moon at Naniwa Sumiyoshi light colours on silk , by Andō Hiroshige 絹本淡彩 東都佃島住よし図 京都嵐山図 浪花住吉月出見の浜図 安藤広重筆 kenpon tansai Tō-to Tsukuda-jima Sumiyoshi zu Kyōto Arashiyama zu Naniwa Sumiyoshi tsuki de mi no hama zu ( Andō Hiroshige hitsu )",C19,Yamagata,Jikōmyō-in ( 慈光明院 ),92.0 centimetres ( 3 ft 0.2 in ) by 28.9 centimetres ( 11.4 in ),[ 10 ]
"Landscape , light colours on silk , by Yo Shakuya 絹本淡彩山水図 余夙夜筆 kenpon tansai sansui zu Yo Shakuya hitsu",1796,Sakata,Homma Museum of Art,114.0 centimetres ( 3 ft 8.9 in ) by 35.0 centimetres ( 1 ft 1.8 in ),[ 11 ]
"Aizen Myōō , colours on silk 絹本著色愛染明王像 kenpon chakushoku Aizen Myōō zō",late Kamakura period,Sagae,Hōzō-in ( 宝蔵院 ),82.9 centimetres ( 2 ft 8.6 in ) by 48.2 centimetres ( 1 ft 7.0 in ),[ 12 ]
"Farewell to Sonehara Rokei , ink on paper , by Fukuhara Gogaku 紙本墨画曽根原魯卿叙別図 福原五岳 筆 shihon bokuga Sonehara Rokei jobetsu zu Fukuhara Gogaku hitsu",C18,Sakata,Homma Museum of Art,75.8 centimetres ( 2 ft 5.8 in ) by 27.2 centimetres ( 10.7 in ),[ 13 ]
"Twin moons , ink on paper , by Shōkadō Shōjō 紙本墨画対月図 松花堂昭乗筆 江月賛 shihon bokuga taigetsu no zu Shōkadō Shōjō hitsu Kōgestu san",early C17,Yamagata,private,111.0 centimetres ( 3 ft 7.7 in ) by 26.0 centimetres ( 10.2 in ),[ 14 ]
"Landscape with people , flowers , and fruit , light colours on paper , six-fold screen , by Ike no Taiga 紙本墨画淡彩山水人物花果図 池大雅筆 六曲屏風 shihon bokuga tansai sansui jinbutsu kaka zu Ike no Taiga hitsu rokkyoku byōbu",1771,Sagae,private,351 centimetres ( 11 ft 6 in ) by 147 centimetres ( 4 ft 10 in ),[ 15 ]
"Daruma , ink on paper 紙本墨画達磨図 無款 shihon bokuga Daruma zu mukan",Muromachi period,Kahoku,private,66.0 centimetres ( 2 ft 2.0 in ) by 29.0 centimetres ( 11.4 in ),[ 16 ]
"Swallow in flight , ink on paper , by Kō Saidō 紙本墨画飛燕図 康西堂筆 shihon bokuga hien zu Kō Saidō hitsu",C15,Sakata,private,42.6 centimetres ( 1 ft 4.8 in ) by 31.2 centimetres ( 1 ft 0.3 in ),[ 17 ]
"Fuke Zenji , ink on paper , by Seta Kamon 紙本墨画普化禅師像 瀬田掃部 筆 雲居禅師賛 shihon bokuga Fuke Zenji zō Seta Kamon hitsu Unkyo Zenji san",C16/17,Sakata,private,75.7 centimetres ( 2 ft 5.8 in ) by 21.3 centimetres ( 8.4 in ),[ 18 ]
"Grapes and squirrel , ink on paper , by Miyamoto Musashi 紙本墨画葡萄栗鼠図 宮本武蔵筆 shihon bokuga budō risu zu Miyamoto Musashiō hitsu",C17,Tendō,Dewazakura Museum of Art,126.5 centimetres ( 4 ft 1.8 in ) by 46.5 centimetres ( 1 ft 6.3 in ),[ 19 ]
"Landscape in the beiten style , ink on paper , by Okada Hankō 紙本墨画米点山水図 岡田半江筆 shihon bokuga beiten sansui zu Okada Hankō hitsu",1830,Yamagata,Yamagata Museum of Art,134.8 centimetres ( 4 ft 5.1 in ) by 38.2 centimetres ( 1 ft 3.0 in ),[ 20 ]
"Landscape in the beihō style , ink on paper , by Okada Hankō 紙本墨画 米法山水 図 岡田半江筆 shihon bokuga beihō sansui zu Okada Hankō hitsu",early C19,Sakata,Homma Museum of Art,227.0 centimetres ( 7 ft 5.4 in ) by 46.8 centimetres ( 1 ft 6.4 in ),[ 21 ]
"Hōnen , ink on paper , by Reizei Tamachika 紙本墨画法然上人像 冷泉為恭 筆 shihon bokuga Hōnen shōnin-zō Reizei Tamachika hitsu",mid-C19,Ōishida,private,92.3 centimetres ( 3 ft 0.3 in ) by 29.5 centimetres ( 11.6 in ),[ 22 ]
"Pasturing cattle , ink on paper 紙本墨画牧牛図 無款 shihon bokuga bokugyū-zu mukan",C14,Sakata,private,50.0 centimetres ( 1 ft 7.7 in ) by 29.5 centimetres ( 11.6 in ),[ 23 ]
"Bamboo , ink on paper , by Yanagisawa Kien 紙本墨画墨竹図 柳里恭筆 shihon bokuga bokuchiku-zu Ryūrikō hitsu",C18,Sakata,private,111.5 centimetres ( 3 ft 7.9 in ) by 27.0 centimetres ( 10.6 in ),[ 24 ]
"Daruma , ink on paper , by Kaihō Yūshō 紙本墨画面壁達磨図 海北友松筆 shihon bokuga menpeki Daruma-zu Kaihō Yūshō hitsu",C16/17,Sakata,private ( kept at Homma Museum of Art ),104.0 centimetres ( 3 ft 4.9 in ) by 39.0 centimetres ( 1 ft 3.4 in ),[ 25 ]
"Goose among reeds , ink on paper by Kōnome Sadashige 紙本墨画芦雁図 郷目貞繁 筆 shihon bokuga rogan-zu Kōnome Sadashige hitsu",mid-C16,Kahoku,private,58.2 centimetres ( 1 ft 10.9 in ) by 44.5 centimetres ( 1 ft 5.5 in ),[ 26 ]
"Views of Yamagata City , oil painting by Takahashi Yuichi 油彩山形市街図 高橋由一筆 yusai Yamagata-shi gai-zu ( Takahashi Yuichi hitsu )",1885,Yamagata,Yamagata Prefecture ( kept at Yamagata Museum of Art ),151.1 centimetres ( 4 ft 11.5 in ) by 104.4 centimetres ( 3 ft 5.1 in ),[ 27 ]
