Year of Issue,Details,Recording Date ( s ),Label
1998,"Great Pianists of the 20th Century - Alfred Brendel I Haydn : Keyboard Sonata in E minor , H. 16/34 / Keyboard Sonata in G major , H. 16/40 / Keyboard Sonata in D major , H. 16/42 / Keyboard Sonata in E flat major , H. 16/52 Schubert : Impromptus , D. 899 ( Op . 90 ) / Impromptus , D. 935 ( Op . posth . 142 ) Schumann : Fantasiestücke ( 8 Fantasy Pieces ) , Op . 12",1982-1991,Philips Classics
1999,"Great Pianists of the 20th Century - Alfred Brendel II Beethoven : Piano Sonata No . 29 in B flat major , Op . 106 Hammerklavier / Bagatelles , Op . 126 / Variations on Salieri 's La Stessa , le Stessissima , in B flat major , WoO 73 / Diabelli Variations , Op . 120 / Piano Sonata No . 32 in C minor , Op . 111",1963-1995,Philips Classics
1999,Great Pianists of the 20th Century - Alfred Brendel III,1968-1989,Philips Classics
2006,The Artist 's Choice Collection : Alfred Brendel,,Philips
2006,The Artist 's Choice : Alfred Brendel plays Beethoven,,Philips
2006,The Artist 's Choice : Alfred Brendel plays Haydn and Mozart,,Philips
2006,The Artist 's Choice : Alfred Brendel plays Liszt and Schumann,,Philips
2006,The Artist 's Choice : Alfred Brendel plays Schubert,,Philips
2007,"Alfred Brendel in Recital Beethoven : Diabelli Variations / Piano Sonata No . 28 in A major , Op . 101 Chopin : Andante spianato et grande polonaise brillante Mendelssohn : Variations sérieuses , Op . 54 Busoni : Elegies Nos . 3 and 6",1968-2001,Philips
2007,Alfred Brendel - Unpublished Live and Radio Performances 1968-2001,1968-2001,Philips
