Team,Winners,Runners-up,Years won,Years runners-up
JS Kabylie,3,0,"2000 , 2001 , 2002",-
Étoile du Sahel,2,2,"1995 , 1999","1996 , 2001"
Shooting Stars,1,0,1992,-
Stella Club d'Adjamé,1,0,1993,-
Bendel Insurance,1,0,1994,-
Kawkab Marrakech,1,0,1996,-
Espérance,1,0,1997,-
CS Sfaxien,1,0,1998,-
Raja Casablanca,1,0,2003,-
Villa SC,0,1,-,1992
Simba SC,0,1,-,1993
Primeiro de Maio,0,1,-,1994
AS Kaloum Star,0,1,-,1995
Petro de Luanda,0,1,-,1997
ASC Jeanne d'Arc,0,1,-,1998
Wydad Casablanca,0,1,-,1999
Ismaily,0,1,-,2000
Tonnerre Yaoundé,0,1,-,2002
Cotonsport Garoua,0,1,-,2003
