#,Name,Clubs,Wales career,Caps,Goals
1,Chris Gunter,"Cardiff City , Tottenham , Nottingham Forest , Reading",2007-,96,0
2,Neville Southall,"Everton , Port Vale",1982-1998,92,0
3,Wayne Hennessey,"Wolves , Crystal Palace",2007-,89,0
4,Ashley Williams,"Stockport , Swansea City , Everton",2008-,86,2
5,Gary Speed,"Leeds United , Everton , Newcastle United , Bolton Wanderers",1990-2004,85,7
6,Gareth Bale,"Southampton , Tottenham , Real Madrid",2006-,83,33
7,Craig Bellamy,"Norwich , Coventry City , Newcastle United , Blackburn , Liverpool , West Ham , Manchester City , Cardiff City",1998-2013,78,19
8,Joe Ledley,"Cardiff City , Celtic , Crystal Palace , Derby County",2006-,77,4
9,Dean Saunders,"Oxford United , Derby County , Liverpool , Aston Villa , Galatasaray , Nottingham Forest , Sheffield United , Benfica , Bradford City",1986-2001,75,22
10,Peter Nicholas,"Crystal Palace , Arsenal , Luton Town , Aberdeen , Chelsea",1979-1991,73,2
=,Ian Rush,"Liverpool , Juventus",1980-1996,73,28
12,Mark Hughes,"Manchester United , Barcelona , Bayern Munich , Chelsea , Southampton",1984-1999,72,16
=,Joey Jones,"Liverpool , Wrexham , Chelsea , Huddersfield Town",1975-1986,72,1
