Name,Location,Capacity ( MW )
Shasta Dam,Redding,676
Oroville Dam,Oroville,645
New Bullards Bar Dam,Dobbins,315
New Melones Dam,Jamestown,300
White Rock Powerplant,East of Sacramento,224
New Don Pedro Dam,La Grange,203
Eastwood Powerhouse,Fresno County,199.8
Folsom Dam,Folsom,199
Mammoth Pool Dam,Sierra National Forest,190
Spring Creek Powerplant *,Keswick,180
Big Creek No . 3 Powerplant,Fresno County,174.45
Holm Powerhouse,Near Cherry Lake,169
Pine Flat Dam,Piedra,165
Judge Francis Carr Powerhouse *,Whiskeytown,154
Camino Powerplant,East of Sacramento,150
Jaybird Powerplant,East of Sacramento,144
Poe Dam ( Poe Powerhouse ),Plumas County,143
Trinity Dam,Weaverville,140
Belden Powerhouse,Plumas County,125
O'Shaughnessy Dam / Kirkwood Powerhouse,Yosemite National Park,124
