Artist,Song Title,UK,US
All Saints,Never Ever,Yes,No
Aqua,Barbie Girl,Yes,No
Arrested Development,Tennessee,No,Yes
The B-52 's,Love Shack,Yes,No
Barenaked Ladies,One Week,Yes,No
Billy Ray Cyrus,Achy Breaky Heart,Yes,No
Boyz II Men,Motownphilly,No,Yes
The Cardigans,Lovefool,Yes,No
Chumbawumba,Tubthumping,No,Yes
Color Me Badd,I Wan na Sex You Up,No,Yes
The Cranberries,Zombie,Yes,Yes
Crash Test Dummies,Mmm Mmm Mmm Mmm,Yes,No
The Cure,Friday I 'm in Love,Yes,No
Divinyls,I Touch Myself,Yes,Yes
EMF,Unbelievable,Yes,No
En Vogue,Free Your Mind,No,Yes
Extreme,More Than Words,No,Yes
Gin Blossoms,Hey Jealousy,Yes,Yes
Hootie & the Blowfish,Only Wan na Be with You,No,Yes
Jesus Jones,"Right Here , Right Now",No,Yes
