Year,Title,Role
1993-2008,Space Ghost Coast to Coast,"Tad Ghostal / Space Ghost , Various"
1997-98,Cartoon Planet,Space Ghost
2000,Celebrity Deathmatch,Willard Scott
2000,Brak Presents the Brak Show Starring Brak,Various
2000-03,The Brak Show,"Dad , Space Ghost , Announcer"
2001,Sealab 2021,Dick
2002-15,Aqua Teen Hunger Force,"George , Jet Chicken , Various"
2004-14,Perfect Hair Forever,"Space Ghost , Japanese Corporate TV Executive , Various"
2006-17,Robot Chicken,"Space Ghost , Unicorn , Mr. Big , Tron , Horton , Doctor Strange"
2008,Assy McGee,"Coroner , Doctor"
2009-10,Squidbillies,Wrestling Promo Announcer
2011,The B.S . of A. with Brian Sack,Various
2017,American Dad !,Cyrus Mooney
