Date,Sport,Venue/Event,Status,Winner/s
2-8,Multi-sport,2015 IWAS World Junior Games,International,Results : click here
3-14,Multi-sport,2015 Summer Universiade,International,South Korea
4,Association football,2015 UEFA Regions ' Cup Final,Continental,Irish Eastern Region
4,Athletics,Meeting Areva,International,Kenya
4-5,Air racing,Red Bull Air Race World Championship - Budapest,International,Master Class : Hannes Arch ( Aircraft : Zivko Edge 540 from Zivko Aeronautics ) Challenger Class : Daniel Ryfa ( Aircraft : Extra 330LX from Extra Aircraft )
4-18,Multi-sport,2015 Pacific Games,Continental,Papua New Guinea
4-26,Road bicycle racing,2015 Tour de France,International,Chris Froome ( Team Sky )
5,Formula One,2015 British Grand Prix,International,Lewis Hamilton ( Mercedes )
6-19,Association football,2015 UEFA European Under-19 Championship,Continental,Spain
7-26,Association football,/ 2015 CONCACAF Gold Cup,Continental,Mexico
8-24 August,Cricket,/ 2015 Ashes series,International,England
8-18,American football,2015 IFAF World Championship,International,United States
9,Athletics,Athletissima,International,United States
9-12,Golf,2015 U.S. Women 's Open,International,Chun In-gee
9-12,Triathlon,2015 European Triathlon Championships,Continental,Men : David Hauss Women : Nicola Spirig
9-19,Beach soccer,2015 FIFA Beach Soccer World Cup,International,Portugal
10-26,Multi-sport,2015 Pan American Games,Continental,United States
12,Motorcycle racing,German motorcycle Grand Prix,International,MotoGP : Marc Márquez ( Repsol Honda Team ) Moto2 : Xavier Siméon ( Gresini Racing ) Moto3 : Danny Kent ( Leopard Racing )
13-19,Fencing,2015 World Fencing Championships,International,Russia and Italy ( 4 gold medals ) Overall : Russia
13-19,Swimming,2015 IPC Swimming World Championships,International,Russia
