City of license/Market,Station,Channel TV ( DT ),Year of affiliation,Owned since
Phoenix,KSAZ-TV ++,10 ( 10 ),1995,1997
Los Angeles,KTTV **,11 ( 11 ),1986,1986
Oakland - San Francisco - San Jose,KTVU,2 ( 44 ),1986,2014
"Washington , D.C",WTTG **,5 ( 36 ),1986,1986
"Ocala - Gainesville , FL",WOGX,51 ( 31 ),1991,2002
Orlando - Daytona Beach - Melbourne,WOFL,35 ( 22 ),1986,2002
Tampa - St. Petersburg - Sarasota,WTVT ++,13 ( 12 ),1994,1997
Atlanta,WAGA-TV ++,5 ( 27 ),1994,1997
Chicago,WFLD **,32 ( 31 ),1986,1986
Detroit,WJBK ++,2 ( 7 ),1994,1997
Minneapolis - Saint Paul,KMSP-TV,9 ( 9 ),2002,2001
New York City,WNYW **,5 ( 27 ),1986,1986
"Belmont - Charlotte , NC",WJZY,46 ( 47 ),2013,2013
Philadelphia,WTXF-TV,29 ( 31 ),1986,1995
"Austin , Texas",KTBC ++,7 ( 7 ),1994,1997
Dallas - Fort Worth,KDFW ++,4 ( 35 ),1995,1997
Houston,KRIV **,26 ( 26 ),1986,1986
