Event,M/W,Athlete,Performance ( s ),Ranking
100m,M,Jason Smyth,10.43Q ; 10.46,Semifinal
100m,M,Paul Hession,-,Scratched
100m,W,Ailis McSweeney,11.52q ; 11.32,Semifinal
200m,M,Paul Hession,20.69Q ; 20.67q ; 20.71,6th
200m,M,Steven Colvert,21.14,Heats
200m,W,Niamh Whelan,23.78q ; 23.31,Semifinal
200m,W,Joanne Cuddihy,-,Scratched
400m,M,David Gillick,45.84Q ; 44.79Q ( SB ) ; 45.28,5th
400m,M,Gordon Kennedy,46.63q ; 46.72,Semifinal
400m,M,Brian Gregan,46.90,Heats
800m,M,David McCarthy,1:49.53q ; 1:49.14,Semifinal
800m,M,Thomas Chamney,-,Scratched
800m,W,Roseanne Galligan,2:01.76 ( PB ),Heats
1500m,M,Thomas Chamney,3:43.60,Heats
1500m,M,Rory Chesser,3:44.01,Heats
1500m,M,Alistair Cragg,-,Scratched
5000m,M,Alistair Cragg,13:37.66q ; DNF,Final
5000m,M,Mark Christie,14:12.68,Heats
3000m steeplechase,W,Fionnuala Britton,9:44.84q ; 9:44.25,11th
3000m steeplechase,W,Stephanie Reilly,10:13.94,Heats
