Rank,Arena,Capacity,City,Country,"Home Team ( s ) ( League , Dates )"
1,Thunderdome,"28,183",St. Petersburg,United States,Tampa Bay Lightning ( NHL ) ( 1993-1996 )
2,Greensboro Coliseum Complex,"21,273",Greensboro,United States,"Carolina Hurricanes ( NHL ) ( 1997-1999 ) , Carolina Monarchs ( AHL ) ( 1995-1997 ) , Greensboro Monarchs ( ECHL ) ( 1989-1995 )"
3,The Palace,"20,804",Auburn Hills,United States,Detroit Vipers ( IHL ) ( 1994-2001 )
4,Joe Louis Arena,"20,027",Detroit,United States,Detroit Red Wings ( NHL ) ( 1979-2017 )
5,Vélodrome d'hiver,"20,000",Paris,France,"Club des Patineurs ( Championnat de France ) ( 1931-1937 ) , Racing Club ( Championnat de France ) ( 1931-1933 ) , Stade Français ( Championnat de France ) ( 1931-1937 ) , Français Volants ( Championnat de France ) ( 1933-1938 )"
6,Izod Center,"19,040",East Rutherford,United States,New Jersey Devils ( NHL ) ( 1982-2007 )
7,Richfield Coliseum,"18,544","Richfield , Ohio",United States,"Cleveland Crusaders ( WHA ) ( 1974-76 ) , Cleveland Barons ( NHL ) ( 1976-78 )"
8,Capital Centre,"18,130",Landover,United States,Washington Capitals ( NHL ) ( 1974-97 )
9,Chesapeake Energy Arena,"18,036",Oklahoma City,United States,Oklahoma City Blazers ( CHL ) ( 2002-2009 )
10,BMO Harris Bradley Center,"17,845",Milwaukee,United States,Milwaukee Admirals ( AHL ) ( 1988-2016 )
11,Toyota Center,"17,800",Houston,United States,Houston Aeros ( AHL ) ( 2003-2013 )
12,Kemper Arena,"17,647",Kansas City,United States,"Kansas City Scouts ( NHL ) ( 1974-1976 ) , Kansas City Blues ( CHL ) ( 1976-1977 ) , Kansas City Blades ( IHL ) ( 1990-2001 ) , Kansas City Outlaws ( UHL ) ( 2004-2005 )"
13,Philips Arena,"17,624",Atlanta,United States,Atlanta Thrashers ( NHL ) ( 1999-2011 )
14,Manchester Arena,"17,500",Manchester,United Kingdom,Manchester Storm ( 1995-2002 )
15,Wachovia Spectrum,"17,380",Philadelphia,United States,"Philadelphia Flyers ( NHL ) ( 1967-1996 ) , Philadelphia Phantoms ( AHL ) ( 1996-2009 )"
16,Chicago Stadium,"17,317",Chicago,United States,Chicago Blackhawks ( NHL ) ( 1929-1994 )
17,St. Louis Arena,"17,188",St. Louis,United States,"St. Louis Eagles ( NHL ) ( 1934-1935 ) , St. Louis Blues ( NHL ) ( 1967-1994 )"
18,Reunion Arena,"17,001",Dallas,United States,Dallas Stars ( NHL ) ( 1993-2001 )
19,Verizon Arena,"17,000",North Little Rock,United States,Arkansas RiverBlades ( ECHL ) ( 1999-2003 )
20,Civic Arena,"16,958",Pittsburgh,United States,"Pittsburgh Hornets ( AHL ) ( 1961-1967 ) , Pittsburgh Penguins ( NHL ) ( 1967-2010 )"
