Team,Head Coach,Captain,Kit manufacturer,Shirt sponsor
Assyriska FF,Valentic Azrudin,Göran Marklund,Nike,Scania
IK Brage,Bo Wålemark Örjan Glans,Vyacheslav Jevtushenko,Puma,SSAB
IF Brommapojkarna,Roberth Björknesjö,Pontus Segerström,adidas,Various
Degerfors IF,Patrik Werner,Tobias Solberg,adidas,Outokumpu
Falkenbergs FF,Thomas Askebrand,David Svensson,Nike,Various
Halmstads BK,Jens Gustafsson,Johnny Lundberg,Puma,ICA
Hammarby IF,Gregg Berhalter,Andreas Dahl,Kappa,Pepsi
Jönköpings Södra IF,Mats Gren,Dennis Östlundh,Nike,Various
Landskrona BoIS,Henrik Larsson,Linus Malmqvist,Masita,Various
Ljungskile SK,Tor-Arne Fredheim,Aleksandar Kitić,Umbro,Various
Trelleborgs FF,Anders Grimberg,Kristian Haynes,Masita,Trelleborg
Umeå FC,Stuart Gibson Örjan Andersson,Erik Lundström,adidas,Norrporten
Varbergs BoIS,Halda Kabil,Fredrik Björk,Umbro,Various
IFK Värnamo,Jörgen Petersson,Tobias Englund,adidas,Various
Ängelholms FF,Joakim Persson,Jakob Augustsson,adidas,Peab
Östers IF,Roar Hansen,Denis Velić,Umbro,ICA
