Round,Pick,Player,Team,Position
2,29,Kevin Bass,Milwaukee Brewers,OF
2,38,Terry Francona *,Chicago Cubs,1B
2,42,Mookie Wilson,New York Mets,OF
3,54,Scott Sanderson,Montreal Expos,RHP
4,84,Jim Gott,St. Louis Cardinals,RHP
4,85,Brian Harper,California Angels,C
4,86,Ozzie Smith,San Diego Padres,SS
5,106,Tim Raines,Montreal Expos,OF
5,124,Mickey Hatcher,Los Angeles Dodgers,OF
9,233,Jesse Barfield,Toronto Blue Jays,OF
11,270,Chili Davis,San Francisco Giants,OF
15,389,Danny Ainge,Toronto Blue Jays,INF
16,416,Tony Phillips *,Seattle Mariners,INF/OF
17,429,Gary Redus *,Boston Red Sox,OF
36,762,Tom Niedenfuer,Los Angeles Dodgers,RHP
