Sr. No,Power Plant,State,Operator,Capacity
1,Vedanta Jharsuguda Captive Power Plant,Odisha,Vedanta Resources,"1,215 MW"
2,Sterlite Jharsuguda Power Station,Odisha,Sterlite Energy,"2,400 MW"
3,KSK Mahanadi Power Project,Chhattisgarh,KSK Energy Ventures Pvt Limited,"1,800MW"
4,Jindal Tamnar Thermal Power Plant,Chhattisgarh,Jindal Power Limited,"3,400 MW"
5,Sipat Thermal Power Plant,Chhattisgarh,NTPC,"2,980 MW"
6,Talcher Super Thermal Power Station,Odisha,NTPC,"3,000 MW"
7,Satpura Thermal Power Station,Madhya Pradesh,Madhya Pradesh Power Generation Company Limited,"1,392.5 MW"
8,Rihand Thermal Power Station,Uttar Pradesh,NTPC,"3,000 MW"
9,Singrauli Super Thermal Power Station,Uttar Pradesh,NTPC,"2,050 MW"
10,Rosa Thermal Power Plant,Uttar Pradesh,Reliance Power Limited,"1,200 MW"
11,Vindhyachal Thermal Power Station,Madhya Pradesh,NTPC,"4,760 MW"
12,JSW Barmer Power Station,Rajasthan,JSW Energy Limited,"1,080 MW"
13,Kota Super Thermal Power Plant,Rajasthan,Rajasthan Rajya Vidyut Utpadan Nigam Limited,"1,240 MW"
14,Suratgarh Super Thermal Power Plant,Rajasthan,Rajasthan Rajya Vidyut Utpadan Nigam Limited,"1,500 MW"
15,Neyveli Thermal Power Station II,Tamil Nadu,Neyevelli Lignite Corp. Limited,"1,470 MW"
16,Vallur Thermal Power Project,Tamil Nadu,NTPC Tamil Nadu Energy,"1,500 MW"
17,Kahalgaon Super Thermal Power Station,Bihar,NTPC,"2,340 MW"
18,Dr Narla Tata Rao Thermal Power Station,Andhra pradesh,Andhra Pradesh Power Generation Corporation,"1,760 MW"
19,NTPC Ramagundam,Telangana,NTPC,"2,600 MW"
20,Simhadri Super Thermal Power Plant,Andhra Pradesh,NTPC,"2,000 MW"
