Emerging technology,Status,Potential applications
Anti-gravity,Hypothetical and experiments,
Artificial gravity,"Research , development",Space Travel
Asteroid mining,"Hypothetical , NASA has announced plans to capture and redirect an asteroid","Commerce , resource supply"
Hypertelescope,Hypothetical,Astronomy
Starshot,Research,
Stasis Chamber,"Experimental , Research and development","Interplanetary space travel , interstellar space travel , medical"
Solar gravitational lens,Hypothetical,Deep space observation
Inflatable space habitat,"Developed , prototypes built and tested",Space habitats
Miniaturized satellite,"Development , early commercialization , diffusion","Inexpensive satellites , constellations for low data rate communications , using formations to gather data from multiple points , in-orbit inspection of larger satellites"
Reusable rocket technology for orbital rockets,"Several companies , including Blue Origin and SpaceX , are developing the technologies",Expendable launch vehicles may become cost prohibitive except for national government or military missions
