Club,Municipality,Province,Finishing position 2014-15 season
R. Géants Athois,Ath,Hainaut,16th of third division A
K.A.C . Betekom,Betekom,Flemish Brabant,1st of Brabant Division One
R. Francs Borains,Boussu,Hainaut,2nd
FC Ganshoren,Ganshoren,Brussels,12th
Léopold FC,Uccle,Brussels,8th
RWDM47,Sint-Jans-Molenbeek,Brussels,None ( newly formed )
R.O.C . de Charleroi-Marchienne,Montignies-sur-Sambre,Hainaut,1st of Hainaut Division One
Racing Charleroi Couillet Fleurus,Charleroi,Hainaut,4th of Hainaut Division One
R. Châtelet S.C,Châtelet,Hainaut,5th
K.F.C . Duffel,Duffel,Antwerp,5th of promotion C
K.S.K . Halle,Halle,Flemish Brabant,5th of Brabant Division One
R.F.C . Tournai,Tournai,Hainaut,18th of third division A
R.U.S . Rebecquoise,Rebecq,Walloon Brabant,4th
K. Olympia Voetbalclub Sterrebeek,Sterrebeek,Flemish Brabant,10th
R.R.C . Waterloo,Waterloo,Walloon Brabant,9th
K. Wolvertem S.C,Wolvertem,Flemish Brabant,11th
