Title,Director,Country,Genre,Cast,Notes
The Angelic Conversation,Derek Jarman,United Kingdom,Drama,"Dave Baby , Timothy Burke , Simon Costin , Christopher Hobbs , Philip McDonald , Toby Mott , Steve Randall , Robert Sharp , Tony Wood , Judi Dench ( narrator ) and Paul Reynolds",Juxtaposition of slow moving photographic images while Dench reads the sonnets of William Shakespeare
The Berlin Affair,Liliana Cavani,Italy West Germany,Drama,"Gudrun Landgrebe , Kevin McNally , Mio Takaki , Hanns Zischler , Andrea Prodan , Massimo Girotti , Pieter Daniel , William Berger , John Steiner , Edward Farrelly , Philippe Leroy and Claudio Lorimer",Based on the novel Quicksand by Jun'ichirō Tanizaki
The Boys Next Door,Penelope Spheeris,United States,Drama,"Charlie Sheen , Maxwell Caulfield",
Buddies,Arthur J. Bressan Jr,United States,Drama,"Geoff Edholm , Damon Hairston , Joyce Korn , Billy Lux , David Rose , Libby Saines , David Schachter , Susan Schneider and Tracy Vivat",First film to deal with the AIDS pandemic
La Cage aux Folles 3 : The Wedding,Georges Lautner,France Italy,Comedy,"Michel Serrault , Ugo Tognazzi , Antonella Interlenghi",
A Chorus Line,Richard Attenborough,United States,"Musical , comedy , drama","Michael Douglas , Alyson Reed , Terrence Mann , Sharon Brown , Michael Blevins , Yamil Borges , Jan Gan Boyd , Gregg Burge , Cameron English , Tony Fields , Audrey Landers , Nicole Fosse , Vicki Frederick , Michelle Johnston , Janet Jones , Pam Klinger , Charles McGowan , Justin Ross , Blane Savage and Matt West",Based on the musical of the same name
Colonel Redl,István Szabó,Austria Hungary West Germany,Drama,"Klaus Maria Brandauer , Hans Christian Blech , Armin Mueller-Stahl , Gudrun Landgrebe , Jan Niklas , László Mészáros , András Bálint , László Gálffi , Dorottya Udvaros , Károly Eperjes , Róbert Rátonyi and Flóra Kádár","Based on the play A Patriot for Me by John Osborne , which itself is based on the true story of Alfred Redl"
The Color Purple,Steven Spielberg,United States,Drama,"Whoopi Goldberg , Desreta Jackson , Danny Glover , Oprah Winfrey , Margaret Avery , Táta Vega , Akosua Busia , Adolph Caesar , Willard Pugh , Rae Dawn Chong , Laurence Fishburne , Grand Bush , Dana Ivey , Leon Rippy , Bennet Guillory , James Tillis and Leonard Jackson",Based on the epistolary novel of the same name by Alice Walker
Consenting Adult,Gilbert Cates,United States,Drama,"Marlo Thomas , Martin Sheen , Barry Tubb",TV movie ; based on the novel of the same name by Laura Z. Hobson
Desert Hearts,Donna Deitch,United States,"Romance , drama","Helen Shaver , Patricia Charbonneau , Audra Lindley , Andra Akers , Gwen Welles , Dean Butler , James Staley , Katie La Bourdette , Alex McArthur , Tyler Tyhurst , Denise Crosby and Antony Ponzini",Based on the novel Desert of the Heart by Jane Rule
Dona Herlinda and Her Son,Jaime Humberto Hermosillo,Mexico,"Romance , comedy , drama","Arturo Meza , Marco Treviño ( credited as Marco Antonio Treviño ) , Guadalupe Del Toro , Letícia Lupercio , Josefina González , Lucha Villa and Guillermina Alba",
An Early Frost,John Erman,United States,Drama,"Aidan Quinn , Sylvia Sidney , Ben Gazzara , Gena Rowlands , Sydney Walsh , Terry O'Quinn , John Glover , Bill Paxton , D.W. Moffett , Cheryl Anderson , Christopher Bradley , Sue Ann Gilfillan , Don Hood , Barbara Hey and Scott Jaeck",
Extramuros,Miguel Picazo,Spain,Drama,"Carmen Maura , Mercedes Sampietro , Aurora Bautista , Assumpta Serna , Antonio Ferrandis , Manuel Alexandre , Conrado San Martín , Valentín Paredes , Marta Fernández Muro , Beatriz Elorrieta , Cándida Losada , Maite Brik , Amparo Valle , Maria Caro and Mari Paz Molinero",
Just One of the Guys,Lisa Gottlieb,United States,Comedy,"Joyce Hyser , Clayton Rohner , Billy Jacoby , Toni Hudson , William Zabka , Leigh McCloskey , Sherilyn Fenn , Arye Gross and Kenneth Tigar",
Kiss of the Spider Woman,Hector Babenco,Brazil United states,Drama,"William Hurt , Raúl Juliá , Sonia Braga , José Lewgoy , Milton Gonçalves , Míriam Pires , Nuno Leal Maia , Fernando Torres , Patricio Bisso , Herson Capri , Denise Dumont , Antônio Petrin , Wilson Grey and Miguel Falabella",Based on the novel of the same name by Manuel Puig
La corte de Faraón,José Luis García Sánchez,Spain,"Comedy , musical","Ana Belén , Fernando Fernán Gómez , Antonio Banderas , Josema Yuste , Agustín González , Quique Camoiras , Mary Carmen Ramírez , Juan Diego , Guillermo Montesinos , María Luisa Ponte , Millán Salcedo , Antonio Gamero , Luis Ciges , Guillermo Marín and Pedro Farrés",a.k.a . Pharaoh 's Court
Mishima : A Life in Four Chapters,Paul Schrader,United States,"Biography , drama","Ken Ogata , Kenji Sawada , Toshiyuki Nagashima",Based on the life and work of Yukio Mishima
My Beautiful Laundrette,Stephen Frears,United Kingdom,"Romance , drama","Gordon Warnecke , Daniel Day-Lewis , Saeed Jaffrey , Roshan Seth , Derrick Branche , Rita Wolf , Souad Faress , Richard Graham , Shirley Anne Field and Stephen Marcus",
No Sad Songs,Nik Sheehan,Canada,Documentary,"Jim Black , Catherine Hunt , Jim St. James and David Sereda",
Novembermond,Alexandra von Grote,West Germany France,"Romance , war , drama","Maurice Arama , Daniel Berlioux , Denise Boulet , Antonin Brunel , Nicole Camus , Marc Delestre , Danièle Delorme , Albert Delpy , Ingrid Dupont , Wolfgang Finck , Robert Florent , Stéphane Garcin , René Geney , Andreas Grothusen and Alexander Hauff",aka November Moon
