Rank,Title,Studio,Worldwide gross
1,Indiana Jones and the Last Crusade,Paramount,"$ 474,171,806"
2,Batman,Warner Bros,"$ 411,348,924"
3,Back to the Future Part II,Universal,"$ 331,950,002"
4,Look Who 's Talking,TriStar,"$ 296,999,813"
5,Dead Poets Society,Disney / Touchstone Pictures,"$ 235,860,116"
6,Lethal Weapon 2,Warner Bros,"$ 227,853,986"
7,"Honey , I Shrunk the Kids",Disney,"$ 222,724,172"
8,Ghostbusters II,Columbia,"$ 215,394,738"
9,The Little Mermaid,Disney,"$ 184,155,863"
10,Born on the Fourth of July,Universal,"$ 161,001,698"
