#,Stadium,Capacity,City,Home team
1,Daugava Stadium,"10,461",Riga,Latvia national football team
2,Skonto stadions,"10,007",Riga,Skonto FC
3,Daugava Stadium ( Liepāja ),"5,083",Liepāja,FK Liepāja
4,Latvijas Universitates Stadions,"5,000",Riga,FK Rīga
5,Celtnieks Stadium,"4,070",Daugavpils,FC Dinaburg
6,Daugava Stadium ( Daugavpils ),"3,480",Daugavpils,Daugava Daugavpils
7,Ventspils Olimpiskais Stadions,"3,085",Ventspils,FK Ventspils
8,Sporta Aģentūras Stadions,"3,000",Rēzekne,FK Blāzma Rēzekne
9,Rēzeknes Pilsētas stadions,"3,000",Rēzekne,FK Dižvanagi Rēzekne
10,Slokas Stadium,"2,800",Jūrmala,FK Spartaks Jūrmala
