School,Type,Location ( s ),Website
Accra Academy,Public school & Boys school,"Bubuashi , Accra",Website
Accra Technical Training Center ( ATTC ),Public school,Accra,N/A
Accra Girls Secondary School,Public school & Girls school,Maamobi,N/A
Accra Grammar School,Public school,Accra,Website
Accra High School,Public school,Asylum Down,N/A
Achimota School,Boarding school,Accra,Website
Alpha Beta Christian College,International school,Accra,Website
Al-Rayan International School ( ARIS ),International school,Accra,Website
American Curriculum International School,International school,Accra,Website
Armed Forces Secondary,Technical school,Burma Camp,N/A
St. Thomas Aquinas Senior High School,Public school & Boys school,Cantonments,Website
St. Francis Xavier Senior High School,Catholic & Private School,kotobabi,N/A
Apostle Safo School of Arts and Sciences,Public school,Awoshie,Website
Christ International Senior High Secondary School,Day & Boarding,"North Taifa , Kwabenya , Accra",N/A
Christian Methodist Senior High School,Public school,"New Aplaku , Accra",N/A
Corpus Christi Senior Secondary School,Public school,Accra,N/A
"Danquah International School , the",Private school & mixed-sex education,"Tesano , Accra",Website
Dansoman Secondary School,Public school,Dansoman,N/A
Ebenezer Secondary School,Public school,Dansoman,N/A
Edge Hill Senior High School,Public school,Awoshie,N/A
