#,Artist,Artist 's nationality,Title
1,Ed Sheeran,United Kingdom,Shape of You
2,Luis Fonsi featuring Daddy Yankee,Puerto Rico,Despacito
3,The Chainsmokers and Coldplay,United States United Kingdom,Something Just Like This
4,Imagine Dragons,United States,Thunder
5,Burak Yeter featuring Danelle Sandoval,Turkey / Netherlands United States,Tuesday
6,Axwell Λ Ingrosso,Sweden,More Than You Know
7,Robin Schulz featuring James Blunt,Germany United Kingdom,OK
8,Bausa,Germany,Was du Liebe nennst
9,French Montana featuring Swae Lee,United States,Unforgettable
10,Ed Sheeran,United Kingdom,Galway Girl
11,Jason Derulo featuring Nicki Minaj and Ty Dolla $ ign,United States Trinidad and Tobago,Swalla
12,Ed Sheeran,United Kingdom,Perfect
13,Kygo and Selena Gomez,Norway United States,It Ai n't Me
14,Alice Merton,Germany / Canada / United Kingdom,No Roots
15,J Balvin and Willy William,Colombia France,Mi Gente
16,Jonas Blue featuring William Singe,United Kingdom Australia,Mama
17,Bonez MC & RAF Camora featuring Maxwell,Germany,Ohne mein Team
18,Camila Cabello featuring Young Thug,Cuba United States,Havana
19,Shawn Mendes,Canada,There 's Nothing Holdin ' Me Back
20,Jax Jones featuring Raye,United Kingdom,You Do n't Know Me
