Rank,Player,From,Year
1,Mohsen Khalili,Saipa,2007
2,Mohammad Nosrati,Pas Tehran,2007
3,Hossein Kaebi,Emirates,2007
5,Rahman Ahmadi,Sepahan,2010
6,Alireza Noormohammadi,Rah Ahan,2010
7,Maziar Zare,Al-Sharjah,2010
8,Mohammad Nouri,Saba,2010
9,Amir Hossein Feshangchi,Saba,2010
10,Gholamreza Rezaei,Foolad,2010
11,Hervé Oussalé,RAEC Mons,2010
12,Sékou Berthé,Plymouth Argyle,2010
13,Vahid Hashemian,VfL Bochum,2010
14,Ali Karimi,Schalke 04,2011
15,Mohammad Nosrati,Tractor Sazi,2011
16,Misagh Memarzadeh,Foolad,2011
17,Mehrdad Oladi,Malavan,2011
18,Reza Hamzepour,Youth System,2011
19,Mamadou Tall,União Leiria,2011
20,Javad Kazemian,Sepahan,2011
