Medal,Name,Event,Games
Gold,Jefri Ardianto Rio Darmawan Ferdiansyah Tanzil Hadid Ujang Hasbulloh Ihram Ardi Ihsadi Muhad Yakin,Men 's Lightweight Coxed Eight,2018 Asian Games
Silver,Lasmin,Men 's Singles Sculls,1998 Asian Games
Silver,Ali Buton Ferdiansyah Ihram Ardi Isadi,Men 's Lightweight Coxless Four,2018 Asian Games
Silver,Kakan Kusmana Memo Edwin Rudiana Sulpianto,Men 's Quadruple Sculls,2018 Asian Games
Bronze,Juliati Nelliewaty Tuah Tutie,Women 's Lightweight Coxless Four,1990 Asian Games
Bronze,Agus Budi Aji Aldino Maryandi Rahmat Rodiaman,Men 's Lightweight Coxless Four,2002 Asian Games
Bronze,Thomas Hallatu Iswandi Jamaluddin Sumardi,Men 's Coxless Four,2006 Asian Games
Bronze,Pere Karoba,Women 's Singles Sculls,2006 Asian Games
Bronze,Tanzil Hadid Ihram Ardi Isadi Muhad Yakin,Men 's Lightweight Quadruple Sculls,2014 Asian Games
Bronze,Julianti Yayah Rokayah,Women 's Coxless Pair,2018 Asian Games
Bronze,Chelsea Corputty Julianti Wa Ode Rahmanjani Yayah Rokayah,Women 's Coxless Four,2018 Asian Games
