Title,Airdate,Notes
The Batman,"2005-04-02 April 2 , 2005 - 8:30/7:30c",New episodes aired on Kids ' WB !
Batman Beyond,"2001-10-01 October 1 , 2001 - 6:30/5:30c",Previously broadcast on Kids ' WB ! . Reruns aired on Hub Network
Batman : The Animated Series,"2000-05-13 May 13 , 2000 - 11/10c July 3 , 2000 - 6:30/5:30c",Previously broadcast on Fox Kids and Kids ' WB ! . Reruns aired on Hub Network
Ben 10 : Alien Force,"2008-05-24 May 24 , 2008 - 10/9c",Reruns aired on Toonami
Beware the Batman,"2014-05-10 May 10 , 2014 - 3/2c","Premiered the night of May 10 , 2014 . New episodes began airing on July 27 with episode 12 . The series was put in turnaround on September 22 , 2014 , which forced Toonami to air the remaining episodes in an early morning marathon on September 28 , 2014"
Cartoon Roulette,"1997-03-17 March 17 , 1997 - 4:30/3:30c","Roulette was composed of animated action shorts ; included were Space Ghost , Superman ( 1940s ) , Birdman and the Galaxy Trio , The Herculoids , Shazzan , The Impossibles , Teen Force , and Mighty Mightor"
Fantastic Four : World 's Greatest Heroes,"2006-09-02 September 2 , 2006 - 8/7c June 9 , 2007 - 9:30/8:30c","Moved to Cartoon Network Saturday mornings , then to Nicktoons"
Gen : Lock,"2019-08-03 August 3 , 2019",
G.I . Joe,"2002-11-04 November 4 , 2002 - 12:30am/11:30c","The 1980s series began airing on Cartoon Network in July 2002 , but officially became a Toonami exclusive in November 2002 . Reruns aired on Hub Network and Discovery Family"
He-Man and the Masters of the Universe,"2002-08-16 August 16 , 2002 - 4/3c",
Jackie Chan Adventures,"2004-04-17 April 17 , 2004 - 9/8c",Originally a part of Kids ' WB . Aired on Toonami as a filler . Reruns have aired on Disney XD
Justice League,"2003-06-02 June 2 , 2003 - 5/4c",
Justice League Unlimited,"2004-07-31 July 31 , 2004 - 8:30/7:30c",Sequel series to Justice League . Later heavily edited on Vortexx
Megas XLR,"2004-05-01 May 1 , 2004 - 9/8c","Aired all episodes on Toonami except for a single episode , which aired on Miguzi . Aired on Toonami Jetstream"
The Powerpuff Girls ( 1998 series ),"1999-07-11 July 11 , 1999 - 12:30am/11:30c June 3 , 2002 - 5:30/4:30c",A Cartoon Network original series . Formerly aired on the revived version of Cartoon Planet and Boomerang
The Real Adventures of Jonny Quest,"1997-03-17 March 17 , 1997 - 5:30/4:30c","Originally on TBS , TNT , and Cartoon Network , it became a Toonami exclusive on launch"
ReBoot,"1999-03-15 March 15 , 1999 - 4:30/3:30c",Originally on ABC . The third and fourth seasons were Toonami-exclusives in the US
Samurai Jack,"2002-12-28 December 28 , 2002 - 1/12c","Aired very few episodes on Toonami , including the premieres of the last four episodes . Aired on Toonami Jetstream in its entirety . Was the final program to air on the old Toonami . The series returned to Toonami in February 2014 , after FLCL ended its second run . Previously aired on Boomerang . Season 5 premiered on Adult Swim in 2017"
Storm Hawks,"2007-07-21 July 21 , 2007 - 7/6c",Began mid-2007
Star Wars : The Clone Wars,"2013-08-17 August 17 , 2013 - 3am/2c","Premiered August 17 , 2013 at 3am/2c . First 56 episodes aired on the block . Episode 8 , titled Bombad Jedi , was skipped during the program 's run"
