Team,Ap,Location,Stadium,Turf,Capacity
Aalesund,8,Ålesund,Color Line Stadion,Artificial,"10,778"
Bodø/Glimt,19,Bodø,Aspmyra stadion,Artificial,"7,400"
Brann,53,Bergen,Brann stadion,Natural,"17,317"
Fredrikstad,40,Fredrikstad,Fredrikstad Stadion,Natural,"13,300"
Lillestrøm,46,Lillestrøm,Åråsen stadion,Natural,"12,500"
Lyn,36,Oslo,Ullevaal Stadion,Natural,"25,572"
Molde,33,Molde,Aker Stadion,Natural,"11,167"
Odd Grenland,28,Skien,Skagerak Arena,Artificial,"13,500"
Rosenborg,46,Trondheim,Lerkendal stadion,Natural,"21,850"
Sandefjord,3,Sandefjord,Komplett.no Arena,Natural,"9,000"
Stabæk,14,Bærum,Telenor Arena,Artificial,"15,000"
Start,34,Kristiansand,Sør Arena,Natural,"14,300"
Strømsgodset,22,Drammen,Marienlyst Stadion,Artificial,"8,500"
Tromsø,23,Tromsø,Alfheim stadion,Artificial,"7,500"
Vålerenga,49,Oslo,Ullevaal Stadion,Natural,"25,572"
Viking,60,Stavanger,Viking Stadion,Natural,"16,600"
